Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 76.2 	 0.1000 	 1.8092 	 0.3548 	 1.4532 	 0.4843 	 0.2403 	 0.0936 	 0.0296 	 0.1713
1 	 77.4 	 0.1000 	 1.5124 	 0.4610 	 1.3475 	 0.5229 	 0.2999 	 0.1367 	 0.0552 	 0.2046
2 	 81.2 	 0.1000 	 1.4223 	 0.4942 	 1.3255 	 0.5255 	 0.3476 	 0.1979 	 0.0893 	 0.2469
3 	 80.7 	 0.1000 	 1.3665 	 0.5162 	 1.2500 	 0.5652 	 0.3715 	 0.2065 	 0.0936 	 0.2467
4 	 78.1 	 0.1000 	 1.3153 	 0.5383 	 1.2464 	 0.5663 	 0.3409 	 0.1801 	 0.0885 	 0.2319
5 	 80.0 	 0.1000 	 1.2872 	 0.5485 	 1.1914 	 0.5869 	 0.3846 	 0.2143 	 0.0970 	 0.2443
6 	 79.0 	 0.1000 	 1.2577 	 0.5641 	 1.1795 	 0.5869 	 0.3995 	 0.2337 	 0.1178 	 0.2654
7 	 80.5 	 0.1000 	 1.2440 	 0.5700 	 1.1288 	 0.6119 	 0.4141 	 0.2461 	 0.1274 	 0.2663
8 	 80.7 	 0.1000 	 1.2217 	 0.5769 	 1.1427 	 0.6030 	 0.3994 	 0.2274 	 0.1091 	 0.2516
9 	 80.1 	 0.1000 	 1.2166 	 0.5798 	 1.1133 	 0.6260 	 0.4255 	 0.2506 	 0.1205 	 0.2627
10 	 79.5 	 0.1000 	 1.2065 	 0.5825 	 1.1433 	 0.6052 	 0.4068 	 0.2356 	 0.1151 	 0.2614
11 	 79.9 	 0.1000 	 1.1940 	 0.5880 	 1.0809 	 0.6363 	 0.4343 	 0.2604 	 0.1308 	 0.2680
12 	 78.6 	 0.1000 	 1.1885 	 0.5901 	 1.1091 	 0.6233 	 0.4215 	 0.2452 	 0.1288 	 0.2670
13 	 78.2 	 0.1000 	 1.1860 	 0.5938 	 1.1057 	 0.6242 	 0.4342 	 0.2645 	 0.1439 	 0.2825
14 	 80.1 	 0.1000 	 1.1788 	 0.5957 	 1.0997 	 0.6206 	 0.4330 	 0.2668 	 0.1459 	 0.2831
15 	 81.6 	 0.1000 	 1.1699 	 0.5989 	 1.1281 	 0.6009 	 0.4252 	 0.2638 	 0.1437 	 0.2862
