Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 84.9 	 0.1000 	 1.8128 	 0.3547 	 1.4728 	 0.4768 	 0.2456 	 0.1024 	 0.0308 	 0.1782
1 	 85.6 	 0.1000 	 1.5127 	 0.4596 	 1.3535 	 0.5218 	 0.3049 	 0.1466 	 0.0608 	 0.2114
2 	 86.7 	 0.1000 	 1.4203 	 0.4941 	 1.2907 	 0.5432 	 0.3415 	 0.1780 	 0.0752 	 0.2287
3 	 86.7 	 0.1000 	 1.3688 	 0.5171 	 1.2346 	 0.5675 	 0.3711 	 0.2054 	 0.0938 	 0.2446
4 	 86.7 	 0.1000 	 1.3098 	 0.5423 	 1.2341 	 0.5625 	 0.3545 	 0.1982 	 0.0986 	 0.2463
5 	 86.1 	 0.1000 	 1.2797 	 0.5531 	 1.1810 	 0.5856 	 0.3888 	 0.2194 	 0.1033 	 0.2502
6 	 85.6 	 0.1000 	 1.2503 	 0.5678 	 1.1690 	 0.5928 	 0.3963 	 0.2302 	 0.1136 	 0.2590
7 	 86.2 	 0.1000 	 1.2354 	 0.5722 	 1.1242 	 0.6170 	 0.4186 	 0.2449 	 0.1231 	 0.2633
8 	 87.2 	 0.1000 	 1.2144 	 0.5781 	 1.1339 	 0.6081 	 0.4091 	 0.2291 	 0.1096 	 0.2545
9 	 87.6 	 0.1000 	 1.2055 	 0.5863 	 1.1012 	 0.6258 	 0.4313 	 0.2594 	 0.1296 	 0.2699
10 	 86.3 	 0.1000 	 1.1940 	 0.5893 	 1.1108 	 0.6196 	 0.4179 	 0.2433 	 0.1198 	 0.2634
11 	 85.4 	 0.1000 	 1.1806 	 0.5932 	 1.0704 	 0.6384 	 0.4388 	 0.2687 	 0.1435 	 0.2777
12 	 85.4 	 0.1000 	 1.1721 	 0.5950 	 1.0934 	 0.6334 	 0.4299 	 0.2430 	 0.1239 	 0.2631
13 	 85.1 	 0.1000 	 1.1763 	 0.5964 	 1.0874 	 0.6325 	 0.4410 	 0.2719 	 0.1477 	 0.2855
14 	 85.4 	 0.1000 	 1.1681 	 0.6012 	 1.0844 	 0.6296 	 0.4387 	 0.2649 	 0.1374 	 0.2771
15 	 86.3 	 0.1000 	 1.1586 	 0.6036 	 1.1045 	 0.6182 	 0.4353 	 0.2731 	 0.1519 	 0.2897
16 	 86.8 	 0.1000 	 1.1536 	 0.6091 	 1.1157 	 0.6179 	 0.4486 	 0.2914 	 0.1607 	 0.2986
17 	 87.8 	 0.1000 	 1.1531 	 0.6047 	 1.0534 	 0.6449 	 0.4571 	 0.2794 	 0.1498 	 0.2837
18 	 86.7 	 0.1000 	 1.1472 	 0.6062 	 1.2037 	 0.5802 	 0.4245 	 0.2834 	 0.1690 	 0.3162
19 	 86.9 	 0.1000 	 1.1438 	 0.6096 	 1.0318 	 0.6570 	 0.4583 	 0.2876 	 0.1517 	 0.2851
20 	 87.2 	 0.1000 	 1.1287 	 0.6166 	 1.0452 	 0.6454 	 0.4645 	 0.3005 	 0.1720 	 0.3022
21 	 87.7 	 0.1000 	 1.1328 	 0.6158 	 1.0870 	 0.6280 	 0.4465 	 0.2829 	 0.1505 	 0.2897
22 	 86.9 	 0.1000 	 1.1363 	 0.6131 	 1.0618 	 0.6367 	 0.4478 	 0.2764 	 0.1505 	 0.2857
23 	 86.9 	 0.1000 	 1.1272 	 0.6178 	 1.0311 	 0.6567 	 0.4522 	 0.2773 	 0.1459 	 0.2790
