Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
17 	 48.3 	 0.1000 	 0.9897 	 0.6527 	 0.8947 	 0.6874 	 0.5537 	 0.4183 	 0.2970 	 0.4336
18 	 48.2 	 0.1000 	 0.9869 	 0.6529 	 0.9836 	 0.6581 	 0.5445 	 0.4221 	 0.3164 	 0.4679
19 	 48.2 	 0.1000 	 0.9706 	 0.6558 	 0.9018 	 0.6848 	 0.5610 	 0.4393 	 0.3232 	 0.4660
20 	 49.0 	 0.1000 	 0.9684 	 0.6597 	 0.9262 	 0.6776 	 0.5502 	 0.4212 	 0.3110 	 0.4544
21 	 49.4 	 0.1000 	 0.9564 	 0.6620 	 0.9043 	 0.6878 	 0.5536 	 0.4216 	 0.2941 	 0.4214
22 	 47.9 	 0.1000 	 0.9550 	 0.6661 	 0.8615 	 0.6999 	 0.5687 	 0.4257 	 0.3045 	 0.4368
23 	 52.4 	 0.1000 	 0.9443 	 0.6714 	 0.9128 	 0.6775 	 0.5516 	 0.4189 	 0.2993 	 0.4489
24 	 52.2 	 0.1000 	 0.9502 	 0.6664 	 0.8785 	 0.6914 	 0.5764 	 0.4458 	 0.3308 	 0.4746
25 	 50.3 	 0.1000 	 0.9394 	 0.6696 	 0.8884 	 0.6885 	 0.5598 	 0.4272 	 0.3148 	 0.4655
26 	 44.2 	 0.1000 	 0.9411 	 0.6690 	 0.8780 	 0.6961 	 0.5666 	 0.4295 	 0.3013 	 0.4354
27 	 43.4 	 0.1000 	 0.9326 	 0.6737 	 0.8876 	 0.6930 	 0.5739 	 0.4512 	 0.3359 	 0.4658
28 	 44.0 	 0.1000 	 0.9283 	 0.6729 	 0.8976 	 0.6857 	 0.5611 	 0.4357 	 0.3271 	 0.4839
29 	 42.4 	 0.1000 	 0.9274 	 0.6743 	 0.8729 	 0.6944 	 0.5680 	 0.4406 	 0.3316 	 0.4736
30 	 42.3 	 0.1000 	 0.9195 	 0.6764 	 0.8222 	 0.7130 	 0.5919 	 0.4689 	 0.3554 	 0.4939
31 	 44.6 	 0.1000 	 0.9152 	 0.6795 	 0.8849 	 0.6912 	 0.5790 	 0.4645 	 0.3553 	 0.4880
32 	 42.5 	 0.1000 	 0.9204 	 0.6773 	 0.8844 	 0.6981 	 0.5769 	 0.4474 	 0.3290 	 0.4689
33 	 44.6 	 0.1000 	 0.9192 	 0.6785 	 0.8339 	 0.7117 	 0.5798 	 0.4491 	 0.3276 	 0.4497
34 	 45.0 	 0.1000 	 0.9186 	 0.6762 	 0.8628 	 0.6988 	 0.5914 	 0.4771 	 0.3709 	 0.5140
35 	 53.3 	 0.1000 	 0.9149 	 0.6803 	 0.8873 	 0.6959 	 0.5851 	 0.4679 	 0.3526 	 0.5011
36 	 54.0 	 0.1000 	 0.9060 	 0.6814 	 0.8366 	 0.7085 	 0.5911 	 0.4721 	 0.3586 	 0.4948
37 	 47.6 	 0.1000 	 0.9124 	 0.6793 	 0.8459 	 0.7061 	 0.5843 	 0.4563 	 0.3451 	 0.4848
38 	 51.2 	 0.1000 	 0.9125 	 0.6782 	 0.8059 	 0.7214 	 0.5964 	 0.4666 	 0.3546 	 0.4795
39 	 47.5 	 0.1000 	 0.9014 	 0.6827 	 0.8372 	 0.7095 	 0.5846 	 0.4604 	 0.3411 	 0.4746
40 	 41.7 	 0.1000 	 0.9100 	 0.6819 	 0.8457 	 0.7033 	 0.5844 	 0.4509 	 0.3364 	 0.4676
41 	 41.7 	 0.1000 	 0.9017 	 0.6828 	 0.8972 	 0.6929 	 0.5884 	 0.4802 	 0.3729 	 0.5301
42 	 42.0 	 0.1000 	 0.8958 	 0.6863 	 0.8201 	 0.7144 	 0.5985 	 0.4854 	 0.3731 	 0.5175
43 	 40.1 	 0.1000 	 0.8982 	 0.6846 	 0.8697 	 0.6978 	 0.5899 	 0.4788 	 0.3700 	 0.5071
44 	 41.0 	 0.1000 	 0.9057 	 0.6827 	 0.8319 	 0.7140 	 0.5972 	 0.4698 	 0.3528 	 0.4940
45 	 41.7 	 0.1000 	 0.8849 	 0.6893 	 0.8387 	 0.7073 	 0.5972 	 0.4818 	 0.3697 	 0.5107
46 	 39.2 	 0.1000 	 0.8984 	 0.6838 	 0.8481 	 0.7030 	 0.5857 	 0.4680 	 0.3541 	 0.5057
47 	 41.0 	 0.1000 	 0.8937 	 0.6854 	 0.7987 	 0.7239 	 0.6072 	 0.4811 	 0.3640 	 0.4960
48 	 40.8 	 0.1000 	 0.8915 	 0.6867 	 0.8141 	 0.7139 	 0.5960 	 0.4664 	 0.3500 	 0.4834
49 	 40.1 	 0.0100 	 0.8916 	 0.6882 	 0.8035 	 0.7217 	 0.6106 	 0.5036 	 0.3865 	 0.5308
50 	 39.7 	 0.0100 	 0.7076 	 0.7529 	 0.6705 	 0.7682 	 0.6615 	 0.5455 	 0.4299 	 0.5542
51 	 40.2 	 0.0100 	 0.6600 	 0.7705 	 0.6481 	 0.7752 	 0.6753 	 0.5646 	 0.4545 	 0.5814
52 	 39.4 	 0.0100 	 0.6391 	 0.7782 	 0.6478 	 0.7762 	 0.6749 	 0.5680 	 0.4556 	 0.5800
53 	 42.6 	 0.0100 	 0.6250 	 0.7834 	 0.6282 	 0.7856 	 0.6869 	 0.5765 	 0.4640 	 0.5993
54 	 39.7 	 0.0100 	 0.6143 	 0.7859 	 0.6208 	 0.7860 	 0.6869 	 0.5747 	 0.4639 	 0.5953
55 	 37.6 	 0.0100 	 0.6015 	 0.7917 	 0.6185 	 0.7861 	 0.6858 	 0.5799 	 0.4713 	 0.6100
56 	 38.1 	 0.0100 	 0.5942 	 0.7916 	 0.6181 	 0.7871 	 0.6952 	 0.5901 	 0.4824 	 0.6211
57 	 39.7 	 0.0100 	 0.5875 	 0.7961 	 0.6168 	 0.7858 	 0.6949 	 0.5921 	 0.4885 	 0.6339
58 	 37.6 	 0.0100 	 0.5752 	 0.7997 	 0.6161 	 0.7851 	 0.6909 	 0.5882 	 0.4837 	 0.6263
59 	 38.0 	 0.0100 	 0.5734 	 0.8030 	 0.6087 	 0.7892 	 0.6982 	 0.5955 	 0.4896 	 0.6343
60 	 38.8 	 0.0100 	 0.5652 	 0.8050 	 0.6033 	 0.7921 	 0.6995 	 0.6065 	 0.5059 	 0.6531
61 	 39.4 	 0.0100 	 0.5617 	 0.8050 	 0.6023 	 0.7882 	 0.7029 	 0.6014 	 0.4983 	 0.6484
62 	 41.7 	 0.0100 	 0.5564 	 0.8086 	 0.5953 	 0.7929 	 0.7068 	 0.6124 	 0.5092 	 0.6662
63 	 39.3 	 0.0100 	 0.5520 	 0.8072 	 0.6052 	 0.7883 	 0.6989 	 0.5970 	 0.4947 	 0.6468
64 	 37.5 	 0.0100 	 0.5452 	 0.8101 	 0.5907 	 0.7973 	 0.7076 	 0.6061 	 0.5073 	 0.6515
65 	 42.0 	 0.0100 	 0.5436 	 0.8116 	 0.6093 	 0.7861 	 0.6977 	 0.5955 	 0.4967 	 0.6544
66 	 43.4 	 0.0100 	 0.5413 	 0.8104 	 0.5955 	 0.7905 	 0.7070 	 0.6081 	 0.5074 	 0.6575
67 	 45.9 	 0.0100 	 0.5348 	 0.8138 	 0.5987 	 0.7916 	 0.7054 	 0.6077 	 0.5079 	 0.6739
68 	 46.6 	 0.0100 	 0.5331 	 0.8155 	 0.6030 	 0.7909 	 0.7066 	 0.6098 	 0.5037 	 0.6638
69 	 45.9 	 0.0100 	 0.5275 	 0.8180 	 0.5951 	 0.7928 	 0.7137 	 0.6166 	 0.5176 	 0.6862
70 	 40.9 	 0.0100 	 0.5243 	 0.8192 	 0.5946 	 0.7961 	 0.7140 	 0.6207 	 0.5245 	 0.6890
71 	 39.1 	 0.0100 	 0.5230 	 0.8184 	 0.6007 	 0.7906 	 0.7051 	 0.6049 	 0.5070 	 0.6710
72 	 39.1 	 0.0100 	 0.5214 	 0.8194 	 0.5853 	 0.7963 	 0.7154 	 0.6164 	 0.5144 	 0.6693
73 	 38.4 	 0.0100 	 0.5167 	 0.8205 	 0.6138 	 0.7858 	 0.6994 	 0.6098 	 0.5063 	 0.6651
74 	 40.9 	 0.0010 	 0.5154 	 0.8218 	 0.6099 	 0.7872 	 0.7018 	 0.6043 	 0.5028 	 0.6692
75 	 41.2 	 0.0010 	 0.4682 	 0.8412 	 0.5587 	 0.8070 	 0.7277 	 0.6287 	 0.5291 	 0.6860
76 	 41.5 	 0.0010 	 0.4469 	 0.8489 	 0.5609 	 0.8067 	 0.7252 	 0.6304 	 0.5321 	 0.6915
77 	 40.2 	 0.0010 	 0.4415 	 0.8527 	 0.5546 	 0.8085 	 0.7311 	 0.6383 	 0.5412 	 0.7065
78 	 39.5 	 0.0010 	 0.4352 	 0.8529 	 0.5519 	 0.8097 	 0.7308 	 0.6368 	 0.5380 	 0.7034
79 	 40.2 	 0.0010 	 0.4326 	 0.8536 	 0.5513 	 0.8122 	 0.7316 	 0.6418 	 0.5427 	 0.7069
80 	 39.3 	 0.0010 	 0.4265 	 0.8586 	 0.5519 	 0.8107 	 0.7335 	 0.6412 	 0.5425 	 0.7107
81 	 38.4 	 0.0010 	 0.4254 	 0.8573 	 0.5501 	 0.8102 	 0.7306 	 0.6382 	 0.5395 	 0.7063
82 	 39.3 	 0.0010 	 0.4244 	 0.8568 	 0.5510 	 0.8097 	 0.7308 	 0.6426 	 0.5422 	 0.7115
83 	 38.8 	 0.0010 	 0.4211 	 0.8592 	 0.5497 	 0.8123 	 0.7306 	 0.6390 	 0.5403 	 0.7058
84 	 40.2 	 0.0010 	 0.4183 	 0.8598 	 0.5512 	 0.8101 	 0.7311 	 0.6370 	 0.5396 	 0.7048
85 	 41.8 	 0.0010 	 0.4169 	 0.8598 	 0.5494 	 0.8111 	 0.7333 	 0.6416 	 0.5447 	 0.7097
86 	 42.1 	 0.0010 	 0.4131 	 0.8625 	 0.5492 	 0.8126 	 0.7326 	 0.6439 	 0.5480 	 0.7128
87 	 41.1 	 0.0010 	 0.4154 	 0.8588 	 0.5496 	 0.8124 	 0.7309 	 0.6390 	 0.5400 	 0.7034
88 	 41.5 	 0.0010 	 0.4132 	 0.8607 	 0.5477 	 0.8138 	 0.7328 	 0.6452 	 0.5479 	 0.7184
89 	 40.6 	 0.0010 	 0.4106 	 0.8623 	 0.5495 	 0.8100 	 0.7324 	 0.6435 	 0.5472 	 0.7189
90 	 44.6 	 0.0010 	 0.4123 	 0.8625 	 0.5486 	 0.8122 	 0.7323 	 0.6425 	 0.5441 	 0.7137
91 	 46.4 	 0.0010 	 0.4095 	 0.8630 	 0.5488 	 0.8117 	 0.7354 	 0.6447 	 0.5474 	 0.7224
92 	 45.6 	 0.0010 	 0.4042 	 0.8646 	 0.5491 	 0.8148 	 0.7354 	 0.6485 	 0.5511 	 0.7282
93 	 41.6 	 0.0010 	 0.4053 	 0.8659 	 0.5474 	 0.8142 	 0.7331 	 0.6428 	 0.5470 	 0.7140
94 	 37.3 	 0.0010 	 0.4041 	 0.8659 	 0.5473 	 0.8133 	 0.7367 	 0.6449 	 0.5485 	 0.7241
95 	 42.3 	 0.0010 	 0.4017 	 0.8661 	 0.5464 	 0.8122 	 0.7378 	 0.6491 	 0.5553 	 0.7334
96 	 44.0 	 0.0010 	 0.4031 	 0.8665 	 0.5465 	 0.8150 	 0.7366 	 0.6474 	 0.5543 	 0.7284
97 	 45.6 	 0.0010 	 0.3999 	 0.8661 	 0.5488 	 0.8115 	 0.7375 	 0.6437 	 0.5487 	 0.7237
98 	 45.3 	 0.0010 	 0.3989 	 0.8660 	 0.5472 	 0.8133 	 0.7377 	 0.6468 	 0.5509 	 0.7219
99 	 45.0 	 0.0010 	 0.3968 	 0.8663 	 0.5471 	 0.8129 	 0.7350 	 0.6489 	 0.5524 	 0.7311
Total train time: 72.6118 minutes
Best Epoch 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Mean Cert 	 Test Time
95 	 0.5464 	 0.8124 	 0.7379 	 0.6491 	 0.5552 	 0.7332 	 2.3755
Last Epoch 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Mean Cert 	 Test Time
99 	 0.5471 	 0.8129 	 0.7349 	 0.6487 	 0.5520 	 0.7310 	 2.4015
