Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 40.6 	 0.1000 	 2.2884 	 0.2858 	 1.6664 	 0.4012 	 0.1507 	 0.0402 	 0.0096 	 0.1328
1 	 42.3 	 0.1000 	 1.6897 	 0.3875 	 1.5580 	 0.4431 	 0.2199 	 0.0994 	 0.0401 	 0.1850
2 	 38.7 	 0.1000 	 1.5423 	 0.4418 	 1.4282 	 0.4885 	 0.2997 	 0.1492 	 0.0613 	 0.2205
3 	 41.7 	 0.1000 	 1.4673 	 0.4707 	 1.3272 	 0.5264 	 0.3370 	 0.1940 	 0.0992 	 0.2570
4 	 42.5 	 0.1000 	 1.3892 	 0.4996 	 1.3190 	 0.5342 	 0.3504 	 0.2140 	 0.1212 	 0.2788
5 	 44.0 	 0.1000 	 1.3273 	 0.5259 	 1.2004 	 0.5702 	 0.3990 	 0.2466 	 0.1318 	 0.2825
6 	 42.8 	 0.1000 	 1.2594 	 0.5515 	 1.1696 	 0.5893 	 0.4105 	 0.2647 	 0.1610 	 0.3144
7 	 43.8 	 0.1000 	 1.2139 	 0.5722 	 1.0522 	 0.6278 	 0.4655 	 0.3179 	 0.1941 	 0.3391
8 	 45.0 	 0.1000 	 1.1695 	 0.5846 	 1.0262 	 0.6443 	 0.4825 	 0.3303 	 0.2094 	 0.3433
9 	 45.1 	 0.1000 	 1.1337 	 0.5989 	 1.0066 	 0.6469 	 0.4971 	 0.3560 	 0.2356 	 0.3659
10 	 45.8 	 0.1000 	 1.1012 	 0.6109 	 1.0085 	 0.6436 	 0.4991 	 0.3509 	 0.2317 	 0.3674
11 	 46.0 	 0.1000 	 1.0745 	 0.6182 	 0.9270 	 0.6782 	 0.5386 	 0.3927 	 0.2717 	 0.3989
12 	 44.5 	 0.1000 	 1.0470 	 0.6282 	 0.9343 	 0.6746 	 0.5327 	 0.3941 	 0.2728 	 0.4002
13 	 46.5 	 0.1000 	 1.0395 	 0.6356 	 0.9223 	 0.6765 	 0.5489 	 0.4212 	 0.3049 	 0.4509
14 	 46.9 	 0.1000 	 1.0275 	 0.6376 	 0.9626 	 0.6617 	 0.5248 	 0.3918 	 0.2747 	 0.4183
15 	 47.7 	 0.1000 	 1.0148 	 0.6420 	 0.9266 	 0.6694 	 0.5391 	 0.4055 	 0.2855 	 0.4202
16 	 48.6 	 0.1000 	 1.0031 	 0.6493 	 0.9646 	 0.6728 	 0.5565 	 0.4369 	 0.3224 	 0.4647
