Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 43.0 	 0.1000 	 1.9064 	 0.3338 	 1.4706 	 0.4717 	 0.2233 	 0.0783 	 0.0190 	 0.1609
1 	 40.7 	 0.1000 	 1.5290 	 0.4476 	 1.3841 	 0.5094 	 0.2696 	 0.1235 	 0.0482 	 0.1936
2 	 47.4 	 0.1000 	 1.4296 	 0.4876 	 1.2950 	 0.5370 	 0.3547 	 0.1979 	 0.0817 	 0.2419
3 	 42.2 	 0.1000 	 1.3550 	 0.5165 	 1.2144 	 0.5730 	 0.3915 	 0.2328 	 0.1153 	 0.2655
4 	 43.0 	 0.1000 	 1.2859 	 0.5453 	 1.2011 	 0.5791 	 0.3798 	 0.2322 	 0.1325 	 0.2748
5 	 45.9 	 0.1000 	 1.2411 	 0.5579 	 1.1254 	 0.6005 	 0.4225 	 0.2604 	 0.1405 	 0.2853
6 	 44.0 	 0.1000 	 1.1988 	 0.5778 	 1.1228 	 0.5990 	 0.4259 	 0.2713 	 0.1565 	 0.2991
7 	 45.0 	 0.1000 	 1.1689 	 0.5889 	 1.0593 	 0.6215 	 0.4533 	 0.2961 	 0.1691 	 0.3086
8 	 42.9 	 0.1000 	 1.1424 	 0.5977 	 1.0386 	 0.6421 	 0.4514 	 0.2925 	 0.1653 	 0.2959
9 	 45.0 	 0.1000 	 1.1236 	 0.6050 	 1.0218 	 0.6454 	 0.4841 	 0.3231 	 0.1902 	 0.3228
10 	 44.6 	 0.1000 	 1.1074 	 0.6121 	 0.9887 	 0.6574 	 0.4919 	 0.3247 	 0.1950 	 0.3251
11 	 42.7 	 0.1000 	 1.0934 	 0.6183 	 1.0025 	 0.6514 	 0.4839 	 0.3367 	 0.2166 	 0.3466
12 	 45.3 	 0.1000 	 1.0750 	 0.6242 	 0.9840 	 0.6615 	 0.4963 	 0.3343 	 0.2053 	 0.3310
13 	 43.2 	 0.1000 	 1.0769 	 0.6220 	 0.9815 	 0.6612 	 0.5045 	 0.3534 	 0.2224 	 0.3534
14 	 48.6 	 0.1000 	 1.0663 	 0.6262 	 1.0130 	 0.6437 	 0.4810 	 0.3311 	 0.2185 	 0.3545
15 	 46.0 	 0.1000 	 1.0558 	 0.6327 	 1.0471 	 0.6334 	 0.4857 	 0.3381 	 0.2105 	 0.3488
16 	 47.0 	 0.1000 	 1.0461 	 0.6367 	 0.9966 	 0.6572 	 0.5107 	 0.3639 	 0.2335 	 0.3600
17 	 50.6 	 0.1000 	 1.0535 	 0.6325 	 0.9768 	 0.6573 	 0.4984 	 0.3428 	 0.2085 	 0.3380
18 	 42.7 	 0.1000 	 1.0419 	 0.6366 	 1.0555 	 0.6292 	 0.4898 	 0.3494 	 0.2268 	 0.3681
19 	 42.2 	 0.1000 	 1.0324 	 0.6409 	 0.9409 	 0.6733 	 0.5176 	 0.3614 	 0.2366 	 0.3639
20 	 42.5 	 0.1000 	 1.0221 	 0.6433 	 0.9362 	 0.6828 	 0.5282 	 0.3732 	 0.2393 	 0.3591
21 	 41.9 	 0.1000 	 1.0260 	 0.6410 	 1.0074 	 0.6504 	 0.4911 	 0.3361 	 0.2065 	 0.3394
22 	 43.5 	 0.1000 	 1.0214 	 0.6439 	 0.9056 	 0.6907 	 0.5192 	 0.3551 	 0.2212 	 0.3411
23 	 41.6 	 0.1000 	 1.0142 	 0.6468 	 0.9398 	 0.6722 	 0.5171 	 0.3568 	 0.2350 	 0.3606
24 	 42.8 	 0.1000 	 1.0137 	 0.6455 	 0.9369 	 0.6752 	 0.5090 	 0.3538 	 0.2235 	 0.3463
25 	 42.8 	 0.1000 	 1.0065 	 0.6488 	 0.9449 	 0.6735 	 0.5156 	 0.3599 	 0.2412 	 0.3650
26 	 43.1 	 0.1000 	 1.0036 	 0.6501 	 0.9209 	 0.6810 	 0.5217 	 0.3734 	 0.2449 	 0.3660
27 	 43.7 	 0.1000 	 1.0100 	 0.6462 	 0.9416 	 0.6708 	 0.5159 	 0.3635 	 0.2357 	 0.3598
28 	 43.2 	 0.1000 	 0.9971 	 0.6508 	 0.9457 	 0.6694 	 0.5100 	 0.3542 	 0.2247 	 0.3612
29 	 44.4 	 0.1000 	 1.0057 	 0.6492 	 0.9582 	 0.6641 	 0.5132 	 0.3645 	 0.2462 	 0.3765
30 	 46.6 	 0.1000 	 0.9913 	 0.6552 	 0.9117 	 0.6809 	 0.5375 	 0.3910 	 0.2622 	 0.3835
31 	 43.0 	 0.1000 	 0.9911 	 0.6552 	 0.9036 	 0.6867 	 0.5367 	 0.3851 	 0.2524 	 0.3711
32 	 42.7 	 0.1000 	 0.9909 	 0.6527 	 0.9762 	 0.6607 	 0.5170 	 0.3753 	 0.2527 	 0.3880
33 	 45.0 	 0.1000 	 0.9892 	 0.6544 	 0.9049 	 0.6901 	 0.5312 	 0.3670 	 0.2318 	 0.3519
34 	 42.6 	 0.1000 	 0.9968 	 0.6532 	 0.9260 	 0.6794 	 0.5359 	 0.3999 	 0.2715 	 0.3940
35 	 43.7 	 0.1000 	 0.9835 	 0.6572 	 0.8967 	 0.6871 	 0.5440 	 0.3960 	 0.2702 	 0.3871
36 	 43.8 	 0.1000 	 0.9800 	 0.6571 	 0.9616 	 0.6651 	 0.5142 	 0.3668 	 0.2364 	 0.3662
37 	 41.8 	 0.1000 	 0.9881 	 0.6549 	 0.9284 	 0.6746 	 0.5262 	 0.3727 	 0.2486 	 0.3782
38 	 42.6 	 0.1000 	 0.9880 	 0.6555 	 0.8890 	 0.6920 	 0.5344 	 0.3864 	 0.2583 	 0.3770
39 	 43.4 	 0.1000 	 0.9807 	 0.6570 	 0.9157 	 0.6795 	 0.5246 	 0.3793 	 0.2506 	 0.3734
40 	 43.8 	 0.1000 	 0.9771 	 0.6595 	 0.9566 	 0.6687 	 0.5124 	 0.3579 	 0.2284 	 0.3568
41 	 42.7 	 0.1000 	 0.9855 	 0.6575 	 0.9103 	 0.6841 	 0.5381 	 0.3942 	 0.2726 	 0.3961
42 	 41.0 	 0.1000 	 0.9752 	 0.6583 	 0.9331 	 0.6727 	 0.5354 	 0.3960 	 0.2756 	 0.4016
43 	 43.2 	 0.1000 	 0.9787 	 0.6592 	 0.9073 	 0.6845 	 0.5374 	 0.3918 	 0.2675 	 0.3839
44 	 43.2 	 0.1000 	 0.9826 	 0.6572 	 0.9284 	 0.6766 	 0.5286 	 0.3699 	 0.2369 	 0.3665
45 	 45.3 	 0.1000 	 0.9657 	 0.6635 	 0.8982 	 0.6919 	 0.5474 	 0.3990 	 0.2700 	 0.3868
46 	 43.6 	 0.1000 	 0.9760 	 0.6617 	 0.9208 	 0.6817 	 0.5310 	 0.3815 	 0.2573 	 0.3814
47 	 42.7 	 0.1000 	 0.9704 	 0.6609 	 0.8984 	 0.6956 	 0.5421 	 0.3900 	 0.2638 	 0.3804
