Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 45.9 	 0.1000 	 1.8012 	 0.3558 	 1.4740 	 0.4793 	 0.2413 	 0.0975 	 0.0313 	 0.1764
1 	 42.5 	 0.1000 	 1.5108 	 0.4609 	 1.3523 	 0.5209 	 0.2995 	 0.1406 	 0.0584 	 0.2067
2 	 44.1 	 0.1000 	 1.4221 	 0.4948 	 1.3168 	 0.5274 	 0.3377 	 0.1828 	 0.0773 	 0.2352
3 	 45.2 	 0.1000 	 1.3746 	 0.5150 	 1.2559 	 0.5659 	 0.3649 	 0.1990 	 0.0870 	 0.2394
4 	 46.2 	 0.1000 	 1.3260 	 0.5376 	 1.2409 	 0.5693 	 0.3479 	 0.1873 	 0.0882 	 0.2329
5 	 48.2 	 0.1000 	 1.2956 	 0.5464 	 1.2017 	 0.5795 	 0.3759 	 0.2133 	 0.1000 	 0.2467
6 	 46.9 	 0.1000 	 1.2713 	 0.5600 	 1.1939 	 0.5814 	 0.3817 	 0.2164 	 0.0995 	 0.2491
7 	 45.4 	 0.1000 	 1.2587 	 0.5640 	 1.1486 	 0.6022 	 0.4075 	 0.2409 	 0.1289 	 0.2697
8 	 46.5 	 0.1000 	 1.2435 	 0.5700 	 1.1828 	 0.5929 	 0.3845 	 0.2116 	 0.0967 	 0.2416
9 	 47.0 	 0.1000 	 1.2290 	 0.5767 	 1.1171 	 0.6179 	 0.4203 	 0.2399 	 0.1129 	 0.2555
10 	 46.3 	 0.1000 	 1.2219 	 0.5772 	 1.1534 	 0.6018 	 0.3998 	 0.2345 	 0.1178 	 0.2609
11 	 43.4 	 0.1000 	 1.2113 	 0.5806 	 1.0971 	 0.6246 	 0.4256 	 0.2472 	 0.1276 	 0.2669
12 	 44.6 	 0.1000 	 1.2016 	 0.5850 	 1.1049 	 0.6294 	 0.4172 	 0.2404 	 0.1203 	 0.2585
