Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
41 	 57.8 	 0.1000 	 1.1130 	 0.6224 	 1.0331 	 0.6499 	 0.4655 	 0.2976 	 0.1742 	 0.3019
42 	 56.4 	 0.1000 	 1.1083 	 0.6248 	 1.0611 	 0.6383 	 0.4635 	 0.3019 	 0.1695 	 0.3025
43 	 58.4 	 0.1000 	 1.1090 	 0.6252 	 1.0559 	 0.6406 	 0.4643 	 0.3033 	 0.1744 	 0.3061
44 	 53.7 	 0.1000 	 1.1149 	 0.6231 	 1.0420 	 0.6448 	 0.4545 	 0.2831 	 0.1551 	 0.2878
45 	 54.1 	 0.1000 	 1.1060 	 0.6249 	 1.0346 	 0.6514 	 0.4698 	 0.3053 	 0.1740 	 0.3019
46 	 56.1 	 0.1000 	 1.1058 	 0.6279 	 1.0193 	 0.6649 	 0.4745 	 0.2931 	 0.1579 	 0.2881
47 	 57.5 	 0.1000 	 1.1054 	 0.6253 	 1.0329 	 0.6446 	 0.4562 	 0.2808 	 0.1509 	 0.2874
48 	 57.0 	 0.1000 	 1.1021 	 0.6292 	 1.0461 	 0.6408 	 0.4595 	 0.2908 	 0.1648 	 0.2967
49 	 55.7 	 0.0100 	 1.1024 	 0.6281 	 1.0206 	 0.6578 	 0.4785 	 0.3053 	 0.1705 	 0.3040
50 	 54.4 	 0.0100 	 0.9854 	 0.6783 	 0.9144 	 0.7040 	 0.5190 	 0.3386 	 0.2004 	 0.3123
51 	 60.9 	 0.0100 	 0.9509 	 0.6947 	 0.9003 	 0.7112 	 0.5300 	 0.3521 	 0.2076 	 0.3183
52 	 54.9 	 0.0100 	 0.9354 	 0.6992 	 0.8975 	 0.7125 	 0.5259 	 0.3532 	 0.2106 	 0.3196
53 	 55.4 	 0.0100 	 0.9281 	 0.7052 	 0.8848 	 0.7141 	 0.5336 	 0.3565 	 0.2097 	 0.3222
54 	 52.5 	 0.0100 	 0.9222 	 0.7058 	 0.8838 	 0.7153 	 0.5366 	 0.3549 	 0.2110 	 0.3220
55 	 50.5 	 0.0100 	 0.9165 	 0.7063 	 0.8808 	 0.7123 	 0.5372 	 0.3601 	 0.2162 	 0.3293
56 	 49.7 	 0.0100 	 0.9105 	 0.7122 	 0.8774 	 0.7135 	 0.5396 	 0.3644 	 0.2198 	 0.3283
57 	 48.7 	 0.0100 	 0.9078 	 0.7122 	 0.8730 	 0.7170 	 0.5384 	 0.3558 	 0.2107 	 0.3210
58 	 50.4 	 0.0100 	 0.9042 	 0.7125 	 0.8770 	 0.7189 	 0.5357 	 0.3540 	 0.2075 	 0.3190
59 	 51.3 	 0.0100 	 0.9005 	 0.7134 	 0.8718 	 0.7205 	 0.5399 	 0.3621 	 0.2206 	 0.3274
60 	 50.8 	 0.0100 	 0.9001 	 0.7125 	 0.8665 	 0.7210 	 0.5448 	 0.3690 	 0.2257 	 0.3330
61 	 49.9 	 0.0100 	 0.8950 	 0.7153 	 0.8655 	 0.7209 	 0.5399 	 0.3625 	 0.2182 	 0.3236
62 	 49.3 	 0.0100 	 0.8932 	 0.7155 	 0.8599 	 0.7228 	 0.5465 	 0.3685 	 0.2209 	 0.3303
63 	 49.4 	 0.0100 	 0.8922 	 0.7163 	 0.8702 	 0.7180 	 0.5370 	 0.3636 	 0.2155 	 0.3273
64 	 49.3 	 0.0100 	 0.8890 	 0.7178 	 0.8691 	 0.7153 	 0.5481 	 0.3812 	 0.2421 	 0.3461
65 	 50.2 	 0.0100 	 0.8894 	 0.7157 	 0.8668 	 0.7193 	 0.5396 	 0.3624 	 0.2171 	 0.3295
66 	 50.0 	 0.0100 	 0.8882 	 0.7186 	 0.8649 	 0.7198 	 0.5465 	 0.3640 	 0.2188 	 0.3263
67 	 54.4 	 0.0100 	 0.8859 	 0.7185 	 0.8694 	 0.7191 	 0.5489 	 0.3781 	 0.2385 	 0.3446
68 	 51.6 	 0.0100 	 0.8898 	 0.7173 	 0.8604 	 0.7267 	 0.5472 	 0.3714 	 0.2247 	 0.3309
69 	 51.3 	 0.0100 	 0.8825 	 0.7201 	 0.8644 	 0.7226 	 0.5487 	 0.3766 	 0.2353 	 0.3404
70 	 49.0 	 0.0100 	 0.8841 	 0.7179 	 0.8595 	 0.7225 	 0.5488 	 0.3716 	 0.2237 	 0.3323
71 	 50.6 	 0.0100 	 0.8801 	 0.7211 	 0.8655 	 0.7192 	 0.5439 	 0.3701 	 0.2269 	 0.3367
72 	 50.1 	 0.0100 	 0.8815 	 0.7205 	 0.8636 	 0.7185 	 0.5466 	 0.3720 	 0.2265 	 0.3355
73 	 51.9 	 0.0100 	 0.8805 	 0.7204 	 0.8541 	 0.7254 	 0.5559 	 0.3804 	 0.2393 	 0.3431
74 	 50.1 	 0.0010 	 0.8787 	 0.7211 	 0.8730 	 0.7151 	 0.5400 	 0.3654 	 0.2247 	 0.3342
75 	 50.6 	 0.0010 	 0.8452 	 0.7382 	 0.8314 	 0.7388 	 0.5593 	 0.3803 	 0.2367 	 0.3367
