Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 56.9 	 0.1000 	 1.8167 	 0.3511 	 1.4562 	 0.4865 	 0.2458 	 0.0996 	 0.0299 	 0.1752
1 	 51.9 	 0.1000 	 1.5117 	 0.4583 	 1.3555 	 0.5206 	 0.2966 	 0.1437 	 0.0611 	 0.2091
2 	 53.9 	 0.1000 	 1.4180 	 0.4943 	 1.3060 	 0.5336 	 0.3484 	 0.1936 	 0.0863 	 0.2422
3 	 53.1 	 0.1000 	 1.3673 	 0.5172 	 1.2456 	 0.5679 	 0.3708 	 0.2049 	 0.0926 	 0.2450
4 	 53.5 	 0.1000 	 1.3137 	 0.5415 	 1.2371 	 0.5643 	 0.3502 	 0.1888 	 0.0876 	 0.2359
5 	 54.5 	 0.1000 	 1.2862 	 0.5499 	 1.1832 	 0.5840 	 0.3838 	 0.2177 	 0.1020 	 0.2476
6 	 57.0 	 0.1000 	 1.2557 	 0.5660 	 1.1792 	 0.5834 	 0.3933 	 0.2278 	 0.1138 	 0.2606
7 	 56.3 	 0.1000 	 1.2422 	 0.5690 	 1.1439 	 0.6044 	 0.4058 	 0.2409 	 0.1290 	 0.2665
8 	 57.5 	 0.1000 	 1.2214 	 0.5767 	 1.1497 	 0.6006 	 0.4043 	 0.2262 	 0.1056 	 0.2508
9 	 58.5 	 0.1000 	 1.2113 	 0.5813 	 1.1058 	 0.6275 	 0.4266 	 0.2470 	 0.1214 	 0.2600
10 	 58.6 	 0.1000 	 1.2001 	 0.5858 	 1.1157 	 0.6158 	 0.4147 	 0.2356 	 0.1121 	 0.2562
11 	 58.8 	 0.1000 	 1.1892 	 0.5888 	 1.0761 	 0.6345 	 0.4320 	 0.2560 	 0.1289 	 0.2668
12 	 57.7 	 0.1000 	 1.1801 	 0.5926 	 1.1044 	 0.6294 	 0.4254 	 0.2526 	 0.1311 	 0.2695
