Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O0', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 53.5 	 45.6 	 0.1000 	 1.8052 	 0.3522 	 1.5025 	 0.4644 	 0.2532 	 0.1159 	 0.0415 	 0.1940
1 	 53.2 	 45.2 	 0.1000 	 1.5109 	 0.4599 	 1.3779 	 0.5144 	 0.3115 	 0.1579 	 0.0669 	 0.2216
2 	 53.9 	 45.7 	 0.1000 	 1.4242 	 0.4938 	 1.3661 	 0.5120 	 0.3476 	 0.2016 	 0.0952 	 0.2571
3 	 54.2 	 46.0 	 0.1000 	 1.3768 	 0.5144 	 1.2650 	 0.5558 	 0.3609 	 0.2064 	 0.0970 	 0.2493
4 	 54.2 	 46.1 	 0.1000 	 1.3278 	 0.5349 	 1.2663 	 0.5518 	 0.3396 	 0.1860 	 0.0945 	 0.2424
5 	 54.5 	 46.1 	 0.1000 	 1.3008 	 0.5451 	 1.2329 	 0.5667 	 0.3692 	 0.2102 	 0.0984 	 0.2490
6 	 56.1 	 47.5 	 0.1000 	 1.2786 	 0.5558 	 1.2492 	 0.5591 	 0.3742 	 0.2240 	 0.1167 	 0.2647
7 	 57.2 	 48.1 	 0.1000 	 1.2661 	 0.5625 	 1.1670 	 0.5889 	 0.3946 	 0.2309 	 0.1195 	 0.2648
8 	 57.2 	 48.4 	 0.1000 	 1.2466 	 0.5657 	 1.2149 	 0.5716 	 0.3797 	 0.2147 	 0.0999 	 0.2504
9 	 58.3 	 48.9 	 0.1000 	 1.2351 	 0.5751 	 1.1425 	 0.6113 	 0.4122 	 0.2486 	 0.1240 	 0.2643
10 	 58.1 	 49.3 	 0.1000 	 1.2268 	 0.5753 	 1.1709 	 0.5914 	 0.3994 	 0.2383 	 0.1245 	 0.2698
11 	 58.7 	 49.4 	 0.1000 	 1.2156 	 0.5821 	 1.0930 	 0.6295 	 0.4295 	 0.2611 	 0.1329 	 0.2733
12 	 58.9 	 49.9 	 0.1000 	 1.2057 	 0.5844 	 1.1346 	 0.6117 	 0.4113 	 0.2385 	 0.1216 	 0.2651
13 	 59.6 	 50.3 	 0.1000 	 1.2115 	 0.5845 	 1.1014 	 0.6205 	 0.4356 	 0.2689 	 0.1470 	 0.2863
14 	 59.2 	 50.2 	 0.1000 	 1.2050 	 0.5859 	 1.1517 	 0.6003 	 0.4145 	 0.2493 	 0.1336 	 0.2756
15 	 60.1 	 51.2 	 0.1000 	 1.1952 	 0.5921 	 1.1603 	 0.5910 	 0.4205 	 0.2688 	 0.1527 	 0.2960
16 	 60.0 	 50.5 	 0.1000 	 1.1948 	 0.5937 	 1.1500 	 0.6035 	 0.4388 	 0.2800 	 0.1526 	 0.2940
17 	 60.2 	 50.6 	 0.1000 	 1.1918 	 0.5916 	 1.0921 	 0.6262 	 0.4412 	 0.2677 	 0.1387 	 0.2794
18 	 59.7 	 50.7 	 0.1000 	 1.1867 	 0.5930 	 1.1715 	 0.5945 	 0.4290 	 0.2800 	 0.1676 	 0.3104
19 	 61.8 	 51.3 	 0.1000 	 1.1813 	 0.5957 	 1.0503 	 0.6474 	 0.4523 	 0.2764 	 0.1438 	 0.2800
20 	 59.6 	 50.2 	 0.1000 	 1.1725 	 0.5993 	 1.0764 	 0.6269 	 0.4543 	 0.2914 	 0.1644 	 0.3004
21 	 60.9 	 51.5 	 0.1000 	 1.1733 	 0.5985 	 1.1151 	 0.6182 	 0.4344 	 0.2652 	 0.1361 	 0.2782
22 	 60.0 	 50.9 	 0.1000 	 1.1761 	 0.6006 	 1.1264 	 0.6059 	 0.4294 	 0.2693 	 0.1416 	 0.2869
23 	 60.7 	 51.3 	 0.1000 	 1.1708 	 0.6011 	 1.0901 	 0.6336 	 0.4275 	 0.2447 	 0.1253 	 0.2625
24 	 60.8 	 51.4 	 0.1000 	 1.1665 	 0.6004 	 1.1273 	 0.6152 	 0.4192 	 0.2560 	 0.1411 	 0.2809
25 	 60.1 	 50.8 	 0.1000 	 1.1629 	 0.6028 	 1.1281 	 0.6123 	 0.4206 	 0.2526 	 0.1373 	 0.2768
26 	 60.7 	 51.3 	 0.1000 	 1.1597 	 0.6029 	 1.0803 	 0.6357 	 0.4338 	 0.2594 	 0.1337 	 0.2720
27 	 60.2 	 51.0 	 0.1000 	 1.1655 	 0.6029 	 1.1101 	 0.6197 	 0.4377 	 0.2641 	 0.1385 	 0.2820
28 	 60.8 	 51.4 	 0.1000 	 1.1581 	 0.6043 	 1.1279 	 0.6062 	 0.4188 	 0.2654 	 0.1525 	 0.2975
29 	 60.8 	 51.7 	 0.1000 	 1.1564 	 0.6052 	 1.1217 	 0.6150 	 0.4233 	 0.2699 	 0.1505 	 0.2876
30 	 61.7 	 52.0 	 0.1000 	 1.1548 	 0.6080 	 1.0592 	 0.6271 	 0.4388 	 0.2750 	 0.1552 	 0.2862
31 	 60.5 	 51.3 	 0.1000 	 1.1514 	 0.6074 	 1.0639 	 0.6364 	 0.4518 	 0.2822 	 0.1504 	 0.2873
32 	 60.6 	 51.6 	 0.1000 	 1.1506 	 0.6081 	 1.0897 	 0.6301 	 0.4409 	 0.2745 	 0.1527 	 0.2866
33 	 61.1 	 51.5 	 0.1000 	 1.1514 	 0.6075 	 1.1090 	 0.6152 	 0.4371 	 0.2802 	 0.1500 	 0.2929
34 	 61.3 	 51.5 	 0.1000 	 1.1532 	 0.6104 	 1.0844 	 0.6321 	 0.4538 	 0.2858 	 0.1592 	 0.2951
35 	 61.1 	 51.6 	 0.1000 	 1.1470 	 0.6085 	 1.0882 	 0.6237 	 0.4466 	 0.2744 	 0.1499 	 0.2892
36 	 60.8 	 51.5 	 0.1000 	 1.1438 	 0.6118 	 1.0744 	 0.6403 	 0.4405 	 0.2688 	 0.1402 	 0.2753
37 	 60.4 	 51.0 	 0.1000 	 1.1495 	 0.6106 	 1.0897 	 0.6201 	 0.4312 	 0.2713 	 0.1524 	 0.2898
38 	 61.0 	 51.4 	 0.1000 	 1.1454 	 0.6121 	 1.0252 	 0.6511 	 0.4705 	 0.2975 	 0.1708 	 0.2990
39 	 61.4 	 52.2 	 0.1000 	 1.1427 	 0.6115 	 1.0427 	 0.6472 	 0.4574 	 0.2882 	 0.1616 	 0.2913
40 	 61.3 	 51.9 	 0.1000 	 1.1395 	 0.6132 	 1.0752 	 0.6271 	 0.4494 	 0.2887 	 0.1603 	 0.2974
41 	 60.3 	 51.1 	 0.1000 	 1.1479 	 0.6093 	 1.0680 	 0.6278 	 0.4533 	 0.2898 	 0.1658 	 0.3007
42 	 61.8 	 52.2 	 0.1000 	 1.1421 	 0.6135 	 1.0985 	 0.6175 	 0.4523 	 0.2978 	 0.1657 	 0.3052
43 	 61.5 	 52.0 	 0.1000 	 1.1443 	 0.6127 	 1.0624 	 0.6404 	 0.4564 	 0.2918 	 0.1644 	 0.2950
