Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O0', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 67.0 	 57.2 	 0.1000 	 1.8195 	 0.3513 	 1.5065 	 0.4619 	 0.2196 	 0.0754 	 0.0217 	 0.1630
1 	 67.0 	 57.1 	 0.1000 	 1.5156 	 0.4585 	 1.5453 	 0.4558 	 0.2408 	 0.1015 	 0.0350 	 0.1859
2 	 67.3 	 57.5 	 0.1000 	 1.4282 	 0.4902 	 1.4636 	 0.4768 	 0.2870 	 0.1470 	 0.0605 	 0.2194
3 	 67.7 	 57.8 	 0.1000 	 1.3815 	 0.5097 	 1.3590 	 0.5227 	 0.3259 	 0.1753 	 0.0828 	 0.2351
4 	 68.4 	 58.4 	 0.1000 	 1.3257 	 0.5324 	 1.4757 	 0.4673 	 0.2793 	 0.1412 	 0.0688 	 0.2287
5 	 69.7 	 59.5 	 0.1000 	 1.2927 	 0.5445 	 1.3530 	 0.5366 	 0.3177 	 0.1511 	 0.0558 	 0.2091
6 	 70.4 	 59.8 	 0.1000 	 1.2663 	 0.5560 	 1.3370 	 0.5254 	 0.3437 	 0.1939 	 0.0909 	 0.2466
7 	 70.5 	 60.1 	 0.1000 	 1.2466 	 0.5637 	 1.2291 	 0.5686 	 0.3641 	 0.1988 	 0.0904 	 0.2420
8 	 71.2 	 61.0 	 0.1000 	 1.2208 	 0.5729 	 1.2985 	 0.5527 	 0.3349 	 0.1684 	 0.0695 	 0.2195
9 	 71.1 	 60.5 	 0.1000 	 1.2106 	 0.5756 	 1.1720 	 0.5979 	 0.3850 	 0.2117 	 0.0973 	 0.2439
10 	 71.4 	 61.2 	 0.1000 	 1.1961 	 0.5837 	 1.2220 	 0.5764 	 0.3712 	 0.2082 	 0.0971 	 0.2445
11 	 72.2 	 61.5 	 0.1000 	 1.1821 	 0.5896 	 1.1693 	 0.5997 	 0.3896 	 0.2105 	 0.0988 	 0.2456
12 	 71.9 	 61.6 	 0.1000 	 1.1702 	 0.5944 	 1.2214 	 0.5918 	 0.3734 	 0.1919 	 0.0832 	 0.2305
13 	 72.4 	 61.6 	 0.1000 	 1.1668 	 0.5940 	 1.1767 	 0.6049 	 0.3896 	 0.2138 	 0.1025 	 0.2464
14 	 72.2 	 61.6 	 0.1000 	 1.1603 	 0.5952 	 1.3075 	 0.5398 	 0.3391 	 0.1833 	 0.0897 	 0.2436
15 	 72.5 	 61.9 	 0.1000 	 1.1504 	 0.6013 	 1.2239 	 0.5829 	 0.3709 	 0.2055 	 0.0940 	 0.2408
16 	 72.9 	 62.2 	 0.1000 	 1.1470 	 0.6045 	 1.1889 	 0.5869 	 0.4071 	 0.2538 	 0.1269 	 0.2728
17 	 73.1 	 62.3 	 0.1000 	 1.1435 	 0.6052 	 1.1937 	 0.5975 	 0.3797 	 0.2045 	 0.0870 	 0.2347
18 	 72.9 	 61.8 	 0.1000 	 1.1398 	 0.6041 	 1.1852 	 0.5947 	 0.4079 	 0.2367 	 0.1186 	 0.2648
19 	 72.6 	 62.2 	 0.1000 	 1.1238 	 0.6120 	 1.2193 	 0.5903 	 0.3713 	 0.1840 	 0.0705 	 0.2227
20 	 73.8 	 62.9 	 0.1000 	 1.1159 	 0.6128 	 1.1298 	 0.6219 	 0.4113 	 0.2217 	 0.1040 	 0.2461
21 	 73.2 	 62.3 	 0.1000 	 1.1193 	 0.6125 	 1.1834 	 0.6039 	 0.4005 	 0.2147 	 0.0877 	 0.2397
22 	 72.1 	 61.5 	 0.1000 	 1.1218 	 0.6104 	 1.1506 	 0.6173 	 0.3983 	 0.2092 	 0.0920 	 0.2377
23 	 73.6 	 62.5 	 0.1000 	 1.1132 	 0.6145 	 1.2070 	 0.6033 	 0.3725 	 0.1835 	 0.0698 	 0.2198
24 	 75.1 	 64.4 	 0.1000 	 1.1088 	 0.6154 	 1.2414 	 0.5808 	 0.3594 	 0.1819 	 0.0794 	 0.2283
25 	 72.3 	 62.2 	 0.1000 	 1.1053 	 0.6172 	 1.2049 	 0.5965 	 0.3721 	 0.1864 	 0.0779 	 0.2271
26 	 72.2 	 61.9 	 0.1000 	 1.0985 	 0.6204 	 1.1982 	 0.6054 	 0.3824 	 0.1989 	 0.0795 	 0.2285
27 	 73.1 	 62.5 	 0.1000 	 1.1067 	 0.6162 	 1.1482 	 0.6267 	 0.3968 	 0.2040 	 0.0873 	 0.2302
28 	 72.9 	 62.5 	 0.1000 	 1.0934 	 0.6207 	 1.1940 	 0.6006 	 0.3710 	 0.1909 	 0.0891 	 0.2303
29 	 76.4 	 65.2 	 0.1000 	 1.1006 	 0.6190 	 1.1878 	 0.6023 	 0.3844 	 0.1978 	 0.0863 	 0.2320
30 	 76.1 	 65.2 	 0.1000 	 1.0962 	 0.6222 	 1.2023 	 0.5920 	 0.3878 	 0.2120 	 0.0992 	 0.2467
31 	 77.4 	 66.2 	 0.1000 	 1.0897 	 0.6231 	 1.1913 	 0.6105 	 0.3776 	 0.1950 	 0.0823 	 0.2259
32 	 74.5 	 64.6 	 0.1000 	 1.0919 	 0.6218 	 1.2071 	 0.5854 	 0.3809 	 0.2120 	 0.1052 	 0.2529
33 	 69.4 	 59.2 	 0.1000 	 1.0894 	 0.6226 	 1.1917 	 0.6010 	 0.3738 	 0.1950 	 0.0853 	 0.2289
34 	 76.0 	 64.6 	 0.1000 	 1.0935 	 0.6234 	 1.2029 	 0.6048 	 0.3802 	 0.1962 	 0.0856 	 0.2299
35 	 76.4 	 65.5 	 0.1000 	 1.0886 	 0.6227 	 1.1542 	 0.6102 	 0.4002 	 0.2172 	 0.1039 	 0.2465
36 	 75.3 	 64.4 	 0.1000 	 1.0837 	 0.6262 	 1.1429 	 0.6240 	 0.4076 	 0.2232 	 0.0965 	 0.2419
37 	 75.2 	 64.3 	 0.1000 	 1.0858 	 0.6260 	 1.1607 	 0.6048 	 0.3942 	 0.2136 	 0.0937 	 0.2385
38 	 74.7 	 63.9 	 0.1000 	 1.0855 	 0.6240 	 1.1648 	 0.6025 	 0.4025 	 0.2207 	 0.1007 	 0.2484
39 	 77.2 	 65.7 	 0.1000 	 1.0851 	 0.6234 	 1.1424 	 0.6284 	 0.4022 	 0.2155 	 0.0941 	 0.2360
40 	 72.2 	 61.9 	 0.1000 	 1.0824 	 0.6270 	 1.2310 	 0.5785 	 0.3657 	 0.1829 	 0.0746 	 0.2260
41 	 77.0 	 66.0 	 0.1000 	 1.0864 	 0.6240 	 1.1781 	 0.6066 	 0.3961 	 0.2121 	 0.0961 	 0.2417
42 	 73.6 	 63.4 	 0.1000 	 1.0838 	 0.6268 	 1.2365 	 0.5828 	 0.3646 	 0.1949 	 0.0867 	 0.2327
43 	 72.0 	 61.0 	 0.1000 	 1.0822 	 0.6284 	 1.1184 	 0.6242 	 0.4109 	 0.2426 	 0.1267 	 0.2660
44 	 78.4 	 65.9 	 0.1000 	 1.0898 	 0.6236 	 1.2405 	 0.5674 	 0.3649 	 0.1941 	 0.0836 	 0.2358
45 	 75.0 	 63.6 	 0.1000 	 1.0848 	 0.6231 	 1.1358 	 0.6308 	 0.4111 	 0.2255 	 0.1119 	 0.2493
46 	 72.9 	 60.2 	 0.1000 	 1.0786 	 0.6292 	 1.1397 	 0.6248 	 0.4008 	 0.2174 	 0.1003 	 0.2411
47 	 78.7 	 68.3 	 0.1000 	 1.0792 	 0.6285 	 1.1481 	 0.6141 	 0.4031 	 0.2184 	 0.1005 	 0.2443
48 	 73.7 	 62.6 	 0.1000 	 1.0721 	 0.6306 	 1.1666 	 0.5976 	 0.3938 	 0.2194 	 0.0988 	 0.2464
49 	 78.2 	 66.3 	 0.0100 	 1.0703 	 0.6310 	 1.0988 	 0.6321 	 0.4282 	 0.2519 	 0.1139 	 0.2596
50 	 78.9 	 67.6 	 0.0100 	 0.9421 	 0.6848 	 1.0257 	 0.6723 	 0.4619 	 0.2571 	 0.1207 	 0.2582
51 	 78.1 	 66.7 	 0.0100 	 0.9034 	 0.6988 	 1.0120 	 0.6698 	 0.4697 	 0.2730 	 0.1356 	 0.2705
