Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 39.3 	 36.7 	 0.1000 	 1.8324 	 0.3443 	 1.4972 	 0.4655 	 0.2024 	 0.0719 	 0.0170 	 0.1525
1 	 38.4 	 36.2 	 0.1000 	 1.4982 	 0.4541 	 1.3727 	 0.5113 	 0.2711 	 0.1245 	 0.0462 	 0.1925
2 	 39.4 	 37.1 	 0.1000 	 1.3780 	 0.5031 	 1.2794 	 0.5305 	 0.3636 	 0.2065 	 0.0912 	 0.2545
3 	 36.5 	 34.2 	 0.1000 	 1.2895 	 0.5401 	 1.1618 	 0.5859 	 0.4168 	 0.2633 	 0.1336 	 0.2858
4 	 37.4 	 35.0 	 0.1000 	 1.1997 	 0.5732 	 1.1054 	 0.6094 	 0.4181 	 0.2721 	 0.1631 	 0.2994
5 	 38.3 	 35.9 	 0.1000 	 1.1484 	 0.5946 	 1.0760 	 0.6135 	 0.4565 	 0.3086 	 0.1861 	 0.3267
6 	 38.6 	 36.2 	 0.1000 	 1.1028 	 0.6103 	 1.0560 	 0.6267 	 0.4704 	 0.3210 	 0.1974 	 0.3371
7 	 38.6 	 36.2 	 0.1000 	 1.0848 	 0.6170 	 1.0382 	 0.6354 	 0.4958 	 0.3587 	 0.2343 	 0.3580
8 	 38.1 	 35.9 	 0.1000 	 1.0511 	 0.6288 	 1.0095 	 0.6442 	 0.4739 	 0.3141 	 0.1963 	 0.3270
9 	 40.0 	 37.6 	 0.1000 	 1.0313 	 0.6368 	 0.9439 	 0.6698 	 0.5233 	 0.3593 	 0.2188 	 0.3397
10 	 42.0 	 39.5 	 0.1000 	 1.0146 	 0.6428 	 0.9278 	 0.6767 	 0.5215 	 0.3728 	 0.2440 	 0.3582
11 	 42.4 	 40.0 	 0.1000 	 1.0024 	 0.6459 	 0.9297 	 0.6720 	 0.5204 	 0.3707 	 0.2399 	 0.3588
12 	 42.2 	 39.6 	 0.1000 	 0.9829 	 0.6552 	 0.9188 	 0.6775 	 0.5259 	 0.3759 	 0.2464 	 0.3640
13 	 41.1 	 38.6 	 0.1000 	 0.9850 	 0.6540 	 0.9554 	 0.6693 	 0.5313 	 0.3920 	 0.2673 	 0.3896
14 	 40.7 	 38.3 	 0.1000 	 0.9724 	 0.6606 	 0.9357 	 0.6673 	 0.5100 	 0.3717 	 0.2558 	 0.3796
15 	 41.8 	 39.4 	 0.1000 	 0.9654 	 0.6613 	 0.9301 	 0.6728 	 0.5279 	 0.3778 	 0.2444 	 0.3627
16 	 41.8 	 39.4 	 0.1000 	 0.9603 	 0.6650 	 0.9108 	 0.6819 	 0.5611 	 0.4243 	 0.2896 	 0.4050
17 	 40.9 	 38.4 	 0.1000 	 0.9549 	 0.6669 	 0.8851 	 0.6920 	 0.5458 	 0.3927 	 0.2613 	 0.3717
18 	 41.3 	 39.0 	 0.1000 	 0.9436 	 0.6693 	 0.9757 	 0.6637 	 0.5380 	 0.4127 	 0.2862 	 0.4088
19 	 42.4 	 39.9 	 0.1000 	 0.9446 	 0.6732 	 0.8466 	 0.7070 	 0.5621 	 0.4065 	 0.2673 	 0.3729
20 	 39.5 	 37.3 	 0.1000 	 0.9376 	 0.6704 	 0.8825 	 0.6959 	 0.5517 	 0.4033 	 0.2760 	 0.3848
21 	 42.3 	 40.0 	 0.1000 	 0.9339 	 0.6743 	 0.9177 	 0.6831 	 0.5373 	 0.3914 	 0.2565 	 0.3723
22 	 40.0 	 37.8 	 0.1000 	 0.9324 	 0.6758 	 0.8330 	 0.7148 	 0.5558 	 0.3943 	 0.2590 	 0.3644
23 	 40.1 	 37.8 	 0.1000 	 0.9251 	 0.6783 	 0.9070 	 0.6757 	 0.5256 	 0.3679 	 0.2430 	 0.3651
24 	 41.6 	 38.7 	 0.1000 	 0.9289 	 0.6749 	 1.7006 	 0.4301 	 0.1914 	 0.0533 	 0.0104 	 0.1487
25 	 51.6 	 48.8 	 0.1000 	 1.1363 	 0.6144 	 1.0476 	 0.6461 	 0.4554 	 0.2861 	 0.1630 	 0.2932
26 	 50.9 	 47.9 	 0.1000 	 1.0901 	 0.6294 	 1.0143 	 0.6584 	 0.4746 	 0.2972 	 0.1623 	 0.2940
27 	 50.6 	 47.8 	 0.1000 	 1.0928 	 0.6256 	 1.0436 	 0.6471 	 0.4648 	 0.2859 	 0.1552 	 0.2885
28 	 51.3 	 48.4 	 0.1000 	 1.0762 	 0.6328 	 1.0101 	 0.6599 	 0.4750 	 0.3082 	 0.1826 	 0.3118
29 	 50.9 	 48.1 	 0.1000 	 1.0864 	 0.6267 	 1.0331 	 0.6439 	 0.4624 	 0.3009 	 0.1702 	 0.3007
30 	 52.6 	 49.8 	 0.1000 	 1.0768 	 0.6318 	 0.9492 	 0.6741 	 0.5019 	 0.3367 	 0.1977 	 0.3196
31 	 55.2 	 52.0 	 0.1000 	 1.0722 	 0.6362 	 1.0272 	 0.6511 	 0.4866 	 0.3286 	 0.1979 	 0.3255
32 	 52.8 	 50.1 	 0.1000 	 1.0718 	 0.6324 	 0.9960 	 0.6669 	 0.4804 	 0.2962 	 0.1621 	 0.2928
33 	 52.8 	 49.5 	 0.1000 	 1.0724 	 0.6313 	 0.9927 	 0.6638 	 0.4768 	 0.3036 	 0.1664 	 0.2941
34 	 54.6 	 51.8 	 0.1000 	 1.0679 	 0.6364 	 0.9571 	 0.6842 	 0.4993 	 0.3238 	 0.1879 	 0.3065
35 	 54.6 	 51.7 	 0.1000 	 1.0700 	 0.6351 	 1.0122 	 0.6591 	 0.4953 	 0.3321 	 0.1898 	 0.3195
36 	 54.6 	 51.7 	 0.1000 	 1.0592 	 0.6375 	 1.0523 	 0.6353 	 0.4579 	 0.2989 	 0.1750 	 0.3084
37 	 52.4 	 49.6 	 0.1000 	 1.0663 	 0.6348 	 0.9891 	 0.6619 	 0.4858 	 0.3182 	 0.1835 	 0.3112
38 	 52.1 	 49.4 	 0.1000 	 1.0663 	 0.6333 	 0.9530 	 0.6809 	 0.4966 	 0.3248 	 0.1894 	 0.3119
