Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 43.6 	 39.5 	 0.1000 	 1.8089 	 0.3554 	 1.4661 	 0.4835 	 0.2356 	 0.0900 	 0.0284 	 0.1693
1 	 42.7 	 38.6 	 0.1000 	 1.5106 	 0.4603 	 1.3624 	 0.5198 	 0.2947 	 0.1336 	 0.0535 	 0.2015
2 	 43.0 	 39.1 	 0.1000 	 1.4189 	 0.4955 	 1.3115 	 0.5321 	 0.3458 	 0.1855 	 0.0773 	 0.2366
3 	 41.5 	 37.6 	 0.1000 	 1.3669 	 0.5174 	 1.2485 	 0.5625 	 0.3691 	 0.2074 	 0.0969 	 0.2480
4 	 41.8 	 38.0 	 0.1000 	 1.3147 	 0.5406 	 1.2374 	 0.5710 	 0.3452 	 0.1815 	 0.0934 	 0.2353
5 	 45.1 	 40.8 	 0.1000 	 1.2850 	 0.5487 	 1.1866 	 0.5885 	 0.3872 	 0.2177 	 0.1011 	 0.2468
6 	 47.8 	 43.1 	 0.1000 	 1.2598 	 0.5601 	 1.1812 	 0.5861 	 0.3947 	 0.2253 	 0.1088 	 0.2589
7 	 48.3 	 43.7 	 0.1000 	 1.2402 	 0.5702 	 1.1267 	 0.6104 	 0.4102 	 0.2415 	 0.1251 	 0.2652
8 	 46.1 	 42.0 	 0.1000 	 1.2221 	 0.5764 	 1.1446 	 0.6075 	 0.3994 	 0.2249 	 0.1027 	 0.2484
9 	 45.3 	 41.0 	 0.1000 	 1.2094 	 0.5824 	 1.0839 	 0.6359 	 0.4322 	 0.2535 	 0.1251 	 0.2616
10 	 45.5 	 41.5 	 0.1000 	 1.1996 	 0.5858 	 1.1258 	 0.6113 	 0.4122 	 0.2443 	 0.1256 	 0.2664
11 	 46.1 	 41.9 	 0.1000 	 1.1868 	 0.5904 	 1.0797 	 0.6328 	 0.4369 	 0.2646 	 0.1371 	 0.2745
12 	 45.6 	 41.2 	 0.1000 	 1.1757 	 0.5943 	 1.0901 	 0.6348 	 0.4362 	 0.2551 	 0.1299 	 0.2676
13 	 46.2 	 41.9 	 0.1000 	 1.1786 	 0.5970 	 1.1106 	 0.6182 	 0.4456 	 0.2809 	 0.1575 	 0.2978
14 	 45.6 	 41.4 	 0.1000 	 1.1736 	 0.5977 	 1.1138 	 0.6144 	 0.4295 	 0.2621 	 0.1434 	 0.2827
15 	 46.2 	 42.1 	 0.1000 	 1.1622 	 0.6043 	 1.1052 	 0.6197 	 0.4394 	 0.2768 	 0.1567 	 0.2937
16 	 46.7 	 42.0 	 0.1000 	 1.1618 	 0.6064 	 1.1294 	 0.6176 	 0.4478 	 0.2865 	 0.1567 	 0.2971
17 	 46.6 	 41.8 	 0.1000 	 1.1570 	 0.6056 	 1.0573 	 0.6426 	 0.4519 	 0.2776 	 0.1457 	 0.2793
18 	 46.3 	 42.2 	 0.1000 	 1.1533 	 0.6066 	 1.2188 	 0.5729 	 0.4152 	 0.2782 	 0.1648 	 0.3134
19 	 47.2 	 42.6 	 0.1000 	 1.1509 	 0.6078 	 1.0311 	 0.6612 	 0.4591 	 0.2784 	 0.1497 	 0.2791
20 	 46.8 	 42.7 	 0.1000 	 1.1362 	 0.6139 	 1.0524 	 0.6402 	 0.4572 	 0.2939 	 0.1656 	 0.2980
21 	 46.5 	 42.2 	 0.1000 	 1.1431 	 0.6097 	 1.0869 	 0.6317 	 0.4491 	 0.2786 	 0.1438 	 0.2813
22 	 46.4 	 42.2 	 0.1000 	 1.1426 	 0.6132 	 1.0520 	 0.6461 	 0.4586 	 0.2868 	 0.1535 	 0.2848
23 	 46.9 	 42.2 	 0.1000 	 1.1352 	 0.6138 	 1.0507 	 0.6513 	 0.4475 	 0.2708 	 0.1410 	 0.2751
24 	 46.7 	 42.4 	 0.1000 	 1.1342 	 0.6124 	 1.0768 	 0.6371 	 0.4305 	 0.2608 	 0.1461 	 0.2790
