Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 41.8 	 39.3 	 0.1000 	 1.8342 	 0.3430 	 1.4684 	 0.4704 	 0.2167 	 0.0768 	 0.0201 	 0.1582
1 	 42.0 	 39.5 	 0.1000 	 1.5026 	 0.4532 	 1.3842 	 0.5057 	 0.2792 	 0.1305 	 0.0534 	 0.2008
2 	 41.8 	 39.3 	 0.1000 	 1.3915 	 0.4984 	 1.3020 	 0.5209 	 0.3560 	 0.2048 	 0.0861 	 0.2523
3 	 42.2 	 39.7 	 0.1000 	 1.3056 	 0.5336 	 1.1541 	 0.5865 	 0.4096 	 0.2498 	 0.1306 	 0.2782
4 	 43.0 	 40.3 	 0.1000 	 1.2140 	 0.5687 	 1.1143 	 0.6012 	 0.4171 	 0.2658 	 0.1587 	 0.3014
5 	 43.3 	 40.7 	 0.1000 	 1.1575 	 0.5888 	 1.0526 	 0.6229 	 0.4494 	 0.2914 	 0.1694 	 0.3061
6 	 43.2 	 40.6 	 0.1000 	 1.1094 	 0.6062 	 1.0373 	 0.6300 	 0.4633 	 0.3014 	 0.1802 	 0.3153
7 	 43.2 	 40.6 	 0.1000 	 1.0879 	 0.6139 	 1.0000 	 0.6469 	 0.5003 	 0.3539 	 0.2317 	 0.3558
8 	 43.2 	 40.8 	 0.1000 	 1.0539 	 0.6263 	 1.0215 	 0.6417 	 0.4657 	 0.3109 	 0.1790 	 0.3142
9 	 42.4 	 39.7 	 0.1000 	 1.0294 	 0.6372 	 0.9195 	 0.6806 	 0.5285 	 0.3681 	 0.2300 	 0.3455
