Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O0', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
37 	 50.7 	 41.0 	 0.1000 	 0.9934 	 0.6545 	 1.4184 	 0.4980 	 0.2559 	 0.0899 	 0.0208 	 0.1690
38 	 50.6 	 41.1 	 0.1000 	 0.9963 	 0.6533 	 1.4758 	 0.4877 	 0.2448 	 0.0878 	 0.0228 	 0.1683
39 	 50.6 	 41.2 	 0.1000 	 0.9924 	 0.6563 	 1.5016 	 0.5034 	 0.2339 	 0.0762 	 0.0149 	 0.1552
40 	 50.1 	 40.7 	 0.1000 	 0.9887 	 0.6566 	 1.6336 	 0.4345 	 0.2009 	 0.0633 	 0.0143 	 0.1551
41 	 50.5 	 40.8 	 0.1000 	 0.9902 	 0.6558 	 1.5046 	 0.4988 	 0.2481 	 0.0900 	 0.0281 	 0.1702
42 	 50.8 	 41.1 	 0.1000 	 0.9850 	 0.6586 	 1.4713 	 0.5052 	 0.2750 	 0.1047 	 0.0243 	 0.1790
43 	 51.0 	 41.3 	 0.1000 	 0.9899 	 0.6552 	 1.3276 	 0.5587 	 0.3041 	 0.1326 	 0.0478 	 0.1915
44 	 50.1 	 40.8 	 0.1000 	 0.9944 	 0.6546 	 1.5360 	 0.4704 	 0.2376 	 0.0845 	 0.0230 	 0.1695
45 	 50.8 	 41.0 	 0.1000 	 0.9779 	 0.6592 	 1.4205 	 0.5282 	 0.2872 	 0.1119 	 0.0295 	 0.1810
46 	 51.0 	 41.3 	 0.1000 	 0.9845 	 0.6583 	 1.4019 	 0.5283 	 0.2735 	 0.0972 	 0.0258 	 0.1716
