Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 48.9 	 44.6 	 0.1000 	 1.8201 	 0.3472 	 1.5320 	 0.4531 	 0.2191 	 0.0817 	 0.0225 	 0.1648
1 	 55.7 	 47.2 	 0.1000 	 1.5167 	 0.4581 	 1.4510 	 0.4855 	 0.2678 	 0.1140 	 0.0396 	 0.1910
2 	 52.0 	 47.3 	 0.1000 	 1.4203 	 0.4924 	 1.3873 	 0.4981 	 0.3048 	 0.1547 	 0.0626 	 0.2238
3 	 58.7 	 53.6 	 0.1000 	 1.3701 	 0.5130 	 1.2725 	 0.5547 	 0.3511 	 0.1819 	 0.0711 	 0.2271
4 	 56.1 	 51.7 	 0.1000 	 1.3163 	 0.5361 	 1.2919 	 0.5506 	 0.3324 	 0.1659 	 0.0795 	 0.2250
5 	 54.0 	 49.5 	 0.1000 	 1.2857 	 0.5461 	 1.3034 	 0.5543 	 0.3418 	 0.1719 	 0.0697 	 0.2201
6 	 55.1 	 50.4 	 0.1000 	 1.2552 	 0.5597 	 1.2280 	 0.5684 	 0.3616 	 0.1954 	 0.0865 	 0.2364
7 	 57.6 	 52.6 	 0.1000 	 1.2348 	 0.5690 	 1.1854 	 0.5813 	 0.3827 	 0.2149 	 0.1030 	 0.2498
8 	 56.5 	 52.0 	 0.1000 	 1.2078 	 0.5790 	 1.1845 	 0.5889 	 0.3813 	 0.2090 	 0.0910 	 0.2405
9 	 57.2 	 52.5 	 0.1000 	 1.1926 	 0.5854 	 1.1315 	 0.6189 	 0.4055 	 0.2308 	 0.1055 	 0.2476
10 	 55.8 	 51.3 	 0.1000 	 1.1753 	 0.5907 	 1.1711 	 0.5896 	 0.3838 	 0.2115 	 0.0982 	 0.2450
11 	 56.0 	 50.9 	 0.1000 	 1.1647 	 0.5945 	 1.1148 	 0.6284 	 0.4111 	 0.2303 	 0.1108 	 0.2476
12 	 55.0 	 50.5 	 0.1000 	 1.1505 	 0.6010 	 1.1354 	 0.6217 	 0.4052 	 0.2196 	 0.1015 	 0.2446
13 	 56.5 	 51.6 	 0.1000 	 1.1536 	 0.5997 	 1.1393 	 0.6070 	 0.4107 	 0.2317 	 0.1188 	 0.2626
14 	 57.9 	 53.4 	 0.1000 	 1.1439 	 0.6049 	 1.2332 	 0.5676 	 0.3691 	 0.2102 	 0.1048 	 0.2556
15 	 55.5 	 51.1 	 0.1000 	 1.1317 	 0.6099 	 1.1565 	 0.5960 	 0.3987 	 0.2255 	 0.1053 	 0.2547
16 	 58.4 	 53.7 	 0.1000 	 1.1305 	 0.6117 	 1.1550 	 0.6088 	 0.4116 	 0.2361 	 0.1158 	 0.2606
17 	 55.2 	 50.7 	 0.1000 	 1.1212 	 0.6157 	 1.1413 	 0.6078 	 0.3993 	 0.2128 	 0.0948 	 0.2414
18 	 54.5 	 49.9 	 0.1000 	 1.1204 	 0.6132 	 1.1868 	 0.5921 	 0.4112 	 0.2441 	 0.1197 	 0.2673
19 	 52.5 	 48.1 	 0.1000 	 1.1114 	 0.6186 	 1.1062 	 0.6327 	 0.4194 	 0.2311 	 0.1031 	 0.2453
20 	 50.7 	 46.4 	 0.1000 	 1.1039 	 0.6222 	 1.0956 	 0.6333 	 0.4240 	 0.2489 	 0.1253 	 0.2637
21 	 51.0 	 47.0 	 0.1000 	 1.1042 	 0.6208 	 1.1221 	 0.6266 	 0.4096 	 0.2200 	 0.0870 	 0.2362
22 	 50.1 	 46.0 	 0.1000 	 1.1068 	 0.6200 	 1.0975 	 0.6339 	 0.4122 	 0.2299 	 0.1101 	 0.2470
23 	 51.4 	 47.4 	 0.1000 	 1.0974 	 0.6237 	 1.1146 	 0.6239 	 0.4046 	 0.2170 	 0.0955 	 0.2391
24 	 50.2 	 46.2 	 0.1000 	 1.0982 	 0.6221 	 1.1566 	 0.6086 	 0.3942 	 0.2176 	 0.1006 	 0.2438
25 	 49.6 	 45.5 	 0.1000 	 1.0932 	 0.6251 	 1.1628 	 0.6019 	 0.3834 	 0.2040 	 0.0977 	 0.2411
