Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 53.8 	 51.1 	 0.1000 	 1.8213 	 0.3444 	 1.4828 	 0.4752 	 0.2223 	 0.0790 	 0.0196 	 0.1603
1 	 44.1 	 41.4 	 0.1000 	 1.5187 	 0.4538 	 1.3565 	 0.5190 	 0.2935 	 0.1365 	 0.0496 	 0.2005
2 	 45.8 	 43.1 	 0.1000 	 1.4203 	 0.4926 	 1.3442 	 0.5207 	 0.3398 	 0.1897 	 0.0863 	 0.2445
3 	 46.7 	 44.0 	 0.1000 	 1.3692 	 0.5125 	 1.2295 	 0.5682 	 0.3795 	 0.2062 	 0.0954 	 0.2495
4 	 45.9 	 43.4 	 0.1000 	 1.3119 	 0.5392 	 1.2737 	 0.5499 	 0.3465 	 0.1901 	 0.1015 	 0.2509
5 	 44.6 	 42.1 	 0.1000 	 1.2793 	 0.5476 	 1.2021 	 0.5775 	 0.3747 	 0.2049 	 0.0900 	 0.2409
6 	 46.0 	 43.3 	 0.1000 	 1.2411 	 0.5641 	 1.1710 	 0.5918 	 0.3963 	 0.2283 	 0.1091 	 0.2563
7 	 46.5 	 43.8 	 0.1000 	 1.2233 	 0.5726 	 1.1231 	 0.6103 	 0.4144 	 0.2430 	 0.1246 	 0.2663
8 	 46.1 	 43.6 	 0.1000 	 1.1961 	 0.5821 	 1.1267 	 0.6065 	 0.4052 	 0.2328 	 0.1125 	 0.2566
9 	 46.2 	 43.5 	 0.1000 	 1.1838 	 0.5876 	 1.0787 	 0.6290 	 0.4411 	 0.2681 	 0.1319 	 0.2734
10 	 46.4 	 43.8 	 0.1000 	 1.1704 	 0.5919 	 1.0905 	 0.6219 	 0.4360 	 0.2616 	 0.1396 	 0.2798
11 	 47.3 	 44.5 	 0.1000 	 1.1563 	 0.5967 	 1.0376 	 0.6446 	 0.4570 	 0.2813 	 0.1566 	 0.2884
12 	 47.3 	 44.4 	 0.1000 	 1.1448 	 0.6038 	 1.0406 	 0.6475 	 0.4593 	 0.2911 	 0.1551 	 0.2920
13 	 48.2 	 45.6 	 0.1000 	 1.1457 	 0.6041 	 1.0833 	 0.6302 	 0.4584 	 0.3039 	 0.1773 	 0.3186
14 	 48.5 	 45.9 	 0.1000 	 1.1385 	 0.6064 	 1.0808 	 0.6175 	 0.4326 	 0.2705 	 0.1548 	 0.2945
15 	 48.2 	 45.5 	 0.1000 	 1.1291 	 0.6100 	 1.1061 	 0.6179 	 0.4416 	 0.2773 	 0.1570 	 0.2977
16 	 48.3 	 45.5 	 0.1000 	 1.1281 	 0.6124 	 1.0902 	 0.6329 	 0.4732 	 0.3166 	 0.1934 	 0.3271
17 	 47.5 	 44.7 	 0.1000 	 1.1257 	 0.6117 	 1.0325 	 0.6459 	 0.4650 	 0.2902 	 0.1574 	 0.2909
18 	 49.4 	 46.6 	 0.1000 	 1.1212 	 0.6123 	 1.1890 	 0.5873 	 0.4356 	 0.2867 	 0.1686 	 0.3175
19 	 48.4 	 45.5 	 0.1000 	 1.1102 	 0.6198 	 1.0192 	 0.6495 	 0.4769 	 0.3088 	 0.1797 	 0.3091
20 	 48.9 	 46.2 	 0.1000 	 1.1055 	 0.6190 	 1.0339 	 0.6464 	 0.4717 	 0.3156 	 0.1848 	 0.3157
21 	 47.5 	 44.9 	 0.1000 	 1.1036 	 0.6186 	 1.0565 	 0.6415 	 0.4620 	 0.2913 	 0.1604 	 0.2968
22 	 49.3 	 46.6 	 0.1000 	 1.1038 	 0.6193 	 1.0080 	 0.6556 	 0.4669 	 0.2949 	 0.1687 	 0.2980
23 	 47.9 	 45.0 	 0.1000 	 1.1000 	 0.6205 	 0.9979 	 0.6609 	 0.4660 	 0.2890 	 0.1609 	 0.2885
24 	 47.8 	 45.1 	 0.1000 	 1.0944 	 0.6220 	 1.0652 	 0.6367 	 0.4394 	 0.2700 	 0.1482 	 0.2822
25 	 49.3 	 46.5 	 0.1000 	 1.0929 	 0.6235 	 1.0466 	 0.6382 	 0.4515 	 0.2832 	 0.1646 	 0.2977
26 	 48.8 	 46.0 	 0.1000 	 1.0880 	 0.6280 	 1.0341 	 0.6487 	 0.4532 	 0.2836 	 0.1543 	 0.2879
27 	 48.6 	 45.9 	 0.1000 	 1.0964 	 0.6227 	 1.0212 	 0.6545 	 0.4729 	 0.2958 	 0.1603 	 0.2939
28 	 49.8 	 47.0 	 0.1000 	 1.0854 	 0.6266 	 1.0269 	 0.6552 	 0.4687 	 0.2967 	 0.1735 	 0.3052
29 	 48.6 	 45.8 	 0.1000 	 1.0909 	 0.6228 	 1.0232 	 0.6505 	 0.4606 	 0.2945 	 0.1700 	 0.3015
30 	 51.0 	 48.0 	 0.1000 	 1.0835 	 0.6293 	 1.0028 	 0.6521 	 0.4786 	 0.3106 	 0.1763 	 0.3061
31 	 48.7 	 45.8 	 0.1000 	 1.0851 	 0.6266 	 1.0228 	 0.6526 	 0.4727 	 0.3047 	 0.1672 	 0.2981
32 	 49.4 	 46.4 	 0.1000 	 1.0813 	 0.6291 	 1.0031 	 0.6611 	 0.4800 	 0.3108 	 0.1817 	 0.3112
33 	 49.5 	 46.8 	 0.1000 	 1.0787 	 0.6300 	 1.0108 	 0.6584 	 0.4705 	 0.3039 	 0.1714 	 0.2991
34 	 53.9 	 46.8 	 0.1000 	 1.0842 	 0.6303 	 0.9987 	 0.6674 	 0.4901 	 0.3210 	 0.1868 	 0.3117
35 	 49.4 	 46.4 	 0.1000 	 1.0786 	 0.6295 	 0.9974 	 0.6629 	 0.4902 	 0.3243 	 0.1937 	 0.3198
36 	 49.9 	 47.1 	 0.1000 	 1.0737 	 0.6320 	 1.0617 	 0.6351 	 0.4552 	 0.2878 	 0.1645 	 0.2986
37 	 49.1 	 46.4 	 0.1000 	 1.0756 	 0.6339 	 1.0161 	 0.6434 	 0.4683 	 0.3108 	 0.1809 	 0.3117
38 	 50.9 	 48.0 	 0.1000 	 1.0780 	 0.6305 	 0.9676 	 0.6731 	 0.4920 	 0.3285 	 0.1900 	 0.3144
39 	 49.9 	 47.1 	 0.1000 	 1.0769 	 0.6290 	 0.9861 	 0.6662 	 0.4838 	 0.3086 	 0.1744 	 0.3020
40 	 49.7 	 47.0 	 0.1000 	 1.0737 	 0.6349 	 1.0032 	 0.6603 	 0.4756 	 0.3075 	 0.1749 	 0.3005
41 	 49.4 	 46.6 	 0.1000 	 1.0760 	 0.6309 	 1.0125 	 0.6579 	 0.4849 	 0.3133 	 0.1881 	 0.3170
42 	 50.3 	 47.5 	 0.1000 	 1.0698 	 0.6348 	 1.0449 	 0.6381 	 0.4839 	 0.3302 	 0.2001 	 0.3348
43 	 49.4 	 46.4 	 0.1000 	 1.0759 	 0.6301 	 1.0249 	 0.6441 	 0.4814 	 0.3250 	 0.1992 	 0.3279
44 	 50.0 	 47.1 	 0.1000 	 1.0838 	 0.6275 	 1.0586 	 0.6321 	 0.4510 	 0.2920 	 0.1726 	 0.3064
45 	 49.4 	 46.4 	 0.1000 	 1.0683 	 0.6334 	 0.9795 	 0.6719 	 0.4938 	 0.3204 	 0.1794 	 0.3076
46 	 50.4 	 47.5 	 0.1000 	 1.0752 	 0.6324 	 0.9923 	 0.6675 	 0.4885 	 0.3182 	 0.1867 	 0.3118
47 	 49.6 	 46.8 	 0.1000 	 1.0656 	 0.6335 	 0.9649 	 0.6797 	 0.4910 	 0.3153 	 0.1843 	 0.3058
48 	 50.6 	 47.8 	 0.1000 	 1.0623 	 0.6382 	 1.0003 	 0.6465 	 0.4841 	 0.3245 	 0.1962 	 0.3281
49 	 50.6 	 47.3 	 0.0100 	 1.0634 	 0.6347 	 0.9536 	 0.6724 	 0.5129 	 0.3511 	 0.2072 	 0.3331
50 	 48.5 	 45.6 	 0.0100 	 0.9258 	 0.6948 	 0.8620 	 0.7178 	 0.5472 	 0.3719 	 0.2261 	 0.3353
51 	 48.3 	 45.5 	 0.0100 	 0.8880 	 0.7087 	 0.8433 	 0.7215 	 0.5620 	 0.3905 	 0.2473 	 0.3550
52 	 47.2 	 44.6 	 0.0100 	 0.8729 	 0.7125 	 0.8473 	 0.7212 	 0.5567 	 0.3949 	 0.2541 	 0.3585
53 	 46.8 	 44.0 	 0.0100 	 0.8646 	 0.7181 	 0.8283 	 0.7293 	 0.5622 	 0.3952 	 0.2532 	 0.3567
54 	 49.1 	 46.1 	 0.0100 	 0.8616 	 0.7166 	 0.8257 	 0.7323 	 0.5642 	 0.3937 	 0.2454 	 0.3536
55 	 49.3 	 46.4 	 0.0100 	 0.8525 	 0.7195 	 0.8188 	 0.7301 	 0.5697 	 0.4014 	 0.2586 	 0.3602
56 	 47.8 	 45.0 	 0.0100 	 0.8508 	 0.7209 	 0.8173 	 0.7325 	 0.5695 	 0.4026 	 0.2628 	 0.3622
57 	 48.2 	 45.6 	 0.0100 	 0.8496 	 0.7206 	 0.8317 	 0.7284 	 0.5635 	 0.3909 	 0.2456 	 0.3509
