Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
37 	 36.0 	 30.8 	 0.1000 	 0.9833 	 0.6579 	 1.3585 	 0.5488 	 0.2752 	 0.0904 	 0.0194 	 0.1639
38 	 36.2 	 30.6 	 0.1000 	 0.9855 	 0.6570 	 1.4951 	 0.4553 	 0.2490 	 0.1029 	 0.0301 	 0.1845
39 	 36.2 	 31.1 	 0.1000 	 0.9824 	 0.6581 	 1.4304 	 0.5325 	 0.2589 	 0.0809 	 0.0184 	 0.1603
40 	 35.2 	 29.9 	 0.1000 	 0.9796 	 0.6603 	 1.6299 	 0.4415 	 0.2088 	 0.0638 	 0.0112 	 0.1545
41 	 34.8 	 29.5 	 0.1000 	 0.9861 	 0.6568 	 1.4394 	 0.5028 	 0.2581 	 0.1018 	 0.0329 	 0.1779
42 	 35.4 	 29.9 	 0.1000 	 0.9764 	 0.6614 	 1.4490 	 0.5057 	 0.2741 	 0.1118 	 0.0323 	 0.1836
43 	 35.8 	 30.4 	 0.1000 	 0.9820 	 0.6581 	 1.3090 	 0.5728 	 0.3034 	 0.1312 	 0.0485 	 0.1885
44 	 35.0 	 29.6 	 0.1000 	 0.9859 	 0.6580 	 1.5122 	 0.4734 	 0.2375 	 0.0870 	 0.0200 	 0.1680
45 	 35.4 	 30.1 	 0.1000 	 0.9719 	 0.6608 	 1.3825 	 0.5308 	 0.2990 	 0.1231 	 0.0385 	 0.1913
46 	 36.4 	 30.9 	 0.1000 	 0.9716 	 0.6608 	 1.3597 	 0.5614 	 0.2906 	 0.1040 	 0.0276 	 0.1723
47 	 34.3 	 28.7 	 0.1000 	 0.9731 	 0.6611 	 1.4332 	 0.5149 	 0.2690 	 0.0903 	 0.0213 	 0.1692
48 	 37.6 	 31.5 	 0.1000 	 0.9723 	 0.6627 	 1.4087 	 0.5261 	 0.2842 	 0.1070 	 0.0277 	 0.1786
49 	 37.0 	 31.7 	 0.0100 	 0.9695 	 0.6616 	 1.3879 	 0.5228 	 0.2870 	 0.1142 	 0.0306 	 0.1827
50 	 36.8 	 31.3 	 0.0100 	 0.8151 	 0.7240 	 1.3115 	 0.5733 	 0.3064 	 0.1163 	 0.0299 	 0.1780
51 	 40.7 	 34.1 	 0.0100 	 0.7696 	 0.7406 	 1.3054 	 0.5676 	 0.3167 	 0.1273 	 0.0378 	 0.1873
52 	 38.0 	 32.2 	 0.0100 	 0.7494 	 0.7458 	 1.3362 	 0.5619 	 0.2997 	 0.1106 	 0.0288 	 0.1773
53 	 39.0 	 33.3 	 0.0100 	 0.7371 	 0.7512 	 1.3371 	 0.5560 	 0.3012 	 0.1182 	 0.0344 	 0.1826
