Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O0', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
37 	 85.0 	 76.6 	 0.1000 	 1.1127 	 0.6230 	 1.0652 	 0.6322 	 0.4523 	 0.2851 	 0.1576 	 0.2921
38 	 84.7 	 75.9 	 0.1000 	 1.1108 	 0.6233 	 1.0395 	 0.6399 	 0.4656 	 0.3029 	 0.1758 	 0.3072
39 	 85.5 	 76.6 	 0.1000 	 1.1048 	 0.6248 	 1.0111 	 0.6641 	 0.4673 	 0.2906 	 0.1601 	 0.2857
40 	 84.7 	 76.0 	 0.1000 	 1.1073 	 0.6235 	 1.0386 	 0.6449 	 0.4588 	 0.2825 	 0.1528 	 0.2866
41 	 84.9 	 75.8 	 0.1000 	 1.1132 	 0.6197 	 1.0221 	 0.6580 	 0.4679 	 0.2936 	 0.1597 	 0.2915
42 	 84.4 	 75.9 	 0.1000 	 1.1030 	 0.6264 	 1.0524 	 0.6390 	 0.4699 	 0.3090 	 0.1719 	 0.3053
43 	 84.9 	 76.3 	 0.1000 	 1.1105 	 0.6235 	 1.0345 	 0.6454 	 0.4670 	 0.3019 	 0.1685 	 0.3000
44 	 84.2 	 75.7 	 0.1000 	 1.1136 	 0.6225 	 1.0626 	 0.6363 	 0.4416 	 0.2700 	 0.1471 	 0.2820
45 	 84.6 	 75.7 	 0.1000 	 1.1041 	 0.6253 	 1.0421 	 0.6463 	 0.4682 	 0.3099 	 0.1788 	 0.3057
46 	 83.7 	 75.1 	 0.1000 	 1.1024 	 0.6278 	 1.0246 	 0.6598 	 0.4581 	 0.2864 	 0.1555 	 0.2854
