Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O0', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 58.4 	 50.8 	 0.1000 	 1.8202 	 0.3497 	 1.4720 	 0.4777 	 0.2523 	 0.1065 	 0.0388 	 0.1870
1 	 58.4 	 50.7 	 0.1000 	 1.5202 	 0.4575 	 1.3391 	 0.5303 	 0.3058 	 0.1473 	 0.0606 	 0.2098
2 	 58.9 	 51.2 	 0.1000 	 1.4269 	 0.4931 	 1.3088 	 0.5367 	 0.3523 	 0.1938 	 0.0864 	 0.2441
3 	 59.5 	 51.7 	 0.1000 	 1.3767 	 0.5132 	 1.2423 	 0.5676 	 0.3735 	 0.2098 	 0.0981 	 0.2508
4 	 59.5 	 51.8 	 0.1000 	 1.3245 	 0.5371 	 1.2323 	 0.5733 	 0.3543 	 0.1948 	 0.0959 	 0.2401
5 	 59.9 	 52.0 	 0.1000 	 1.2931 	 0.5464 	 1.1981 	 0.5812 	 0.3847 	 0.2220 	 0.1059 	 0.2529
6 	 60.2 	 52.3 	 0.1000 	 1.2661 	 0.5618 	 1.1814 	 0.5905 	 0.3967 	 0.2347 	 0.1217 	 0.2644
7 	 60.4 	 52.4 	 0.1000 	 1.2472 	 0.5682 	 1.1527 	 0.6031 	 0.4026 	 0.2425 	 0.1312 	 0.2686
8 	 61.6 	 53.4 	 0.1000 	 1.2255 	 0.5764 	 1.1492 	 0.6020 	 0.4048 	 0.2306 	 0.1129 	 0.2561
9 	 62.6 	 54.1 	 0.1000 	 1.2150 	 0.5813 	 1.1336 	 0.6137 	 0.4234 	 0.2548 	 0.1314 	 0.2725
