Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
37 	 53.5 	 50.2 	 0.1000 	 0.9010 	 0.6888 	 0.8736 	 0.6968 	 0.5414 	 0.3915 	 0.2576 	 0.3697
38 	 54.2 	 51.7 	 0.1000 	 0.8966 	 0.6878 	 0.8245 	 0.7102 	 0.5680 	 0.4228 	 0.2847 	 0.3929
39 	 45.1 	 42.5 	 0.1000 	 0.8966 	 0.6884 	 0.8472 	 0.7048 	 0.5576 	 0.4126 	 0.2809 	 0.3913
40 	 47.4 	 44.2 	 0.1000 	 0.8946 	 0.6900 	 0.8583 	 0.6993 	 0.5559 	 0.4140 	 0.2811 	 0.3902
41 	 47.2 	 44.3 	 0.1000 	 0.9000 	 0.6897 	 0.8604 	 0.7002 	 0.5601 	 0.4136 	 0.2856 	 0.4032
42 	 47.1 	 44.4 	 0.1000 	 0.8924 	 0.6910 	 0.8490 	 0.7011 	 0.5662 	 0.4348 	 0.3036 	 0.4135
43 	 53.8 	 50.5 	 0.1000 	 0.8972 	 0.6897 	 0.8649 	 0.6995 	 0.5525 	 0.4072 	 0.2824 	 0.3910
44 	 44.9 	 42.2 	 0.1000 	 0.9001 	 0.6876 	 0.8919 	 0.6874 	 0.5428 	 0.3912 	 0.2623 	 0.3743
45 	 46.4 	 43.9 	 0.1000 	 0.8852 	 0.6917 	 0.8563 	 0.6978 	 0.5674 	 0.4273 	 0.2957 	 0.4045
46 	 47.6 	 44.2 	 0.1000 	 0.8951 	 0.6920 	 0.8439 	 0.7115 	 0.5748 	 0.4356 	 0.2993 	 0.4051
47 	 50.8 	 47.9 	 0.1000 	 0.8876 	 0.6921 	 0.8292 	 0.7181 	 0.5625 	 0.4012 	 0.2604 	 0.3656
48 	 47.6 	 44.9 	 0.1000 	 0.8910 	 0.6921 	 0.8554 	 0.7001 	 0.5663 	 0.4211 	 0.2874 	 0.4003
49 	 55.8 	 53.2 	 0.0100 	 0.8889 	 0.6930 	 0.8187 	 0.7147 	 0.5879 	 0.4493 	 0.3130 	 0.4201
50 	 46.6 	 43.5 	 0.0100 	 0.7526 	 0.7472 	 0.7244 	 0.7560 	 0.6224 	 0.4745 	 0.3343 	 0.4202
51 	 46.5 	 43.6 	 0.0100 	 0.7153 	 0.7599 	 0.7042 	 0.7611 	 0.6341 	 0.4925 	 0.3567 	 0.4392
52 	 48.8 	 45.1 	 0.0100 	 0.6965 	 0.7662 	 0.7049 	 0.7593 	 0.6364 	 0.4925 	 0.3560 	 0.4435
53 	 44.2 	 41.4 	 0.0100 	 0.6853 	 0.7719 	 0.6906 	 0.7651 	 0.6366 	 0.4990 	 0.3574 	 0.4437
54 	 46.3 	 43.1 	 0.0100 	 0.6794 	 0.7722 	 0.6887 	 0.7642 	 0.6393 	 0.4999 	 0.3669 	 0.4516
55 	 47.4 	 44.6 	 0.0100 	 0.6725 	 0.7759 	 0.6812 	 0.7681 	 0.6398 	 0.5045 	 0.3665 	 0.4515
56 	 47.0 	 44.1 	 0.0100 	 0.6678 	 0.7763 	 0.6838 	 0.7669 	 0.6451 	 0.5075 	 0.3696 	 0.4508
57 	 45.5 	 42.9 	 0.0100 	 0.6643 	 0.7803 	 0.6816 	 0.7668 	 0.6412 	 0.5053 	 0.3658 	 0.4459
58 	 43.9 	 41.3 	 0.0100 	 0.6577 	 0.7807 	 0.6845 	 0.7655 	 0.6399 	 0.4940 	 0.3544 	 0.4372
