Namespace(batch_size=128, epochs=200, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
37 	 28.8 	 27.2 	 0.1000 	 0.9833 	 0.6579 	 0.9314 	 0.6777 	 0.5171 	 0.3669 	 0.2341 	 0.3588
38 	 30.2 	 27.7 	 0.1000 	 0.9855 	 0.6570 	 0.8898 	 0.6920 	 0.5477 	 0.4017 	 0.2695 	 0.3885
39 	 28.9 	 27.3 	 0.1000 	 0.9824 	 0.6581 	 0.9250 	 0.6756 	 0.5193 	 0.3711 	 0.2443 	 0.3685
40 	 28.9 	 27.0 	 0.1000 	 0.9796 	 0.6603 	 0.9171 	 0.6790 	 0.5273 	 0.3831 	 0.2485 	 0.3746
41 	 29.5 	 27.8 	 0.1000 	 0.9861 	 0.6568 	 0.9456 	 0.6646 	 0.5304 	 0.3887 	 0.2687 	 0.4075
42 	 29.6 	 28.0 	 0.1000 	 0.9764 	 0.6614 	 0.9406 	 0.6732 	 0.5471 	 0.4172 	 0.2909 	 0.4208
43 	 29.3 	 27.6 	 0.1000 	 0.9820 	 0.6581 	 0.9293 	 0.6754 	 0.5343 	 0.3969 	 0.2758 	 0.3989
44 	 28.9 	 27.3 	 0.1000 	 0.9859 	 0.6580 	 0.9385 	 0.6733 	 0.5098 	 0.3512 	 0.2220 	 0.3505
45 	 28.6 	 27.0 	 0.1000 	 0.9719 	 0.6608 	 0.9254 	 0.6760 	 0.5408 	 0.4019 	 0.2828 	 0.4086
46 	 29.9 	 28.2 	 0.1000 	 0.9716 	 0.6608 	 0.9019 	 0.6970 	 0.5433 	 0.3928 	 0.2553 	 0.3741
47 	 28.3 	 26.7 	 0.1000 	 0.9731 	 0.6611 	 0.8694 	 0.7014 	 0.5463 	 0.3833 	 0.2519 	 0.3643
48 	 29.4 	 27.5 	 0.1000 	 0.9723 	 0.6627 	 0.8622 	 0.6955 	 0.5556 	 0.4106 	 0.2774 	 0.3972
49 	 29.2 	 27.1 	 0.1000 	 0.9695 	 0.6616 	 0.8959 	 0.6913 	 0.5608 	 0.4100 	 0.2798 	 0.4031
50 	 30.0 	 28.3 	 0.1000 	 0.9663 	 0.6631 	 0.9237 	 0.6801 	 0.5137 	 0.3592 	 0.2327 	 0.3591
51 	 29.2 	 27.6 	 0.1000 	 0.9687 	 0.6633 	 0.8925 	 0.6886 	 0.5470 	 0.4052 	 0.2843 	 0.4027
52 	 29.5 	 27.8 	 0.1000 	 0.9759 	 0.6598 	 0.9564 	 0.6602 	 0.5350 	 0.4107 	 0.2935 	 0.4297
53 	 29.6 	 27.9 	 0.1000 	 0.9811 	 0.6587 	 0.8916 	 0.6899 	 0.5429 	 0.3878 	 0.2557 	 0.3756
54 	 29.0 	 27.4 	 0.1000 	 0.9733 	 0.6607 	 0.9158 	 0.6772 	 0.5332 	 0.3827 	 0.2589 	 0.3861
55 	 29.1 	 27.3 	 0.1000 	 0.9651 	 0.6662 	 0.9140 	 0.6900 	 0.5304 	 0.3749 	 0.2477 	 0.3732
56 	 29.5 	 27.9 	 0.1000 	 0.9700 	 0.6641 	 0.8963 	 0.6936 	 0.5381 	 0.3838 	 0.2614 	 0.3806
57 	 29.9 	 28.2 	 0.1000 	 0.9674 	 0.6654 	 0.8853 	 0.6947 	 0.5478 	 0.3927 	 0.2626 	 0.3760
58 	 30.0 	 28.3 	 0.1000 	 0.9607 	 0.6647 	 0.8692 	 0.6989 	 0.5422 	 0.3868 	 0.2557 	 0.3707
59 	 29.8 	 28.1 	 0.1000 	 0.9661 	 0.6620 	 0.9131 	 0.6797 	 0.5278 	 0.3833 	 0.2560 	 0.3792
60 	 29.0 	 27.4 	 0.1000 	 0.9666 	 0.6644 	 0.8838 	 0.6987 	 0.5532 	 0.4041 	 0.2771 	 0.3983
61 	 29.8 	 28.1 	 0.1000 	 0.9665 	 0.6637 	 0.9098 	 0.6879 	 0.5285 	 0.3740 	 0.2455 	 0.3610
62 	 29.1 	 27.4 	 0.1000 	 0.9593 	 0.6670 	 0.9106 	 0.6925 	 0.5493 	 0.4071 	 0.2800 	 0.3961
63 	 30.4 	 28.6 	 0.1000 	 0.9661 	 0.6650 	 0.8769 	 0.6943 	 0.5471 	 0.3974 	 0.2651 	 0.3805
64 	 29.2 	 27.5 	 0.1000 	 0.9575 	 0.6674 	 0.8924 	 0.6904 	 0.5475 	 0.3989 	 0.2703 	 0.3889
65 	 30.7 	 28.9 	 0.1000 	 0.9663 	 0.6651 	 0.9136 	 0.6860 	 0.5318 	 0.3730 	 0.2458 	 0.3688
66 	 28.9 	 27.1 	 0.1000 	 0.9584 	 0.6685 	 0.8744 	 0.6968 	 0.5493 	 0.4020 	 0.2697 	 0.3849
67 	 29.9 	 28.3 	 0.1000 	 0.9617 	 0.6673 	 0.8545 	 0.7054 	 0.5578 	 0.4078 	 0.2714 	 0.3862
68 	 30.1 	 28.4 	 0.1000 	 0.9573 	 0.6674 	 0.8828 	 0.6986 	 0.5490 	 0.4012 	 0.2773 	 0.3955
69 	 30.0 	 28.3 	 0.1000 	 0.9611 	 0.6647 	 0.9805 	 0.6581 	 0.5105 	 0.3621 	 0.2387 	 0.3797
70 	 29.8 	 28.2 	 0.1000 	 0.9644 	 0.6634 	 0.9024 	 0.6866 	 0.5475 	 0.4091 	 0.2822 	 0.4145
71 	 29.9 	 28.3 	 0.1000 	 0.9589 	 0.6661 	 0.8874 	 0.6949 	 0.5464 	 0.3967 	 0.2608 	 0.3760
72 	 30.2 	 28.4 	 0.1000 	 0.9572 	 0.6658 	 0.8973 	 0.6846 	 0.5365 	 0.3839 	 0.2600 	 0.3782
73 	 29.3 	 27.6 	 0.1000 	 0.9549 	 0.6685 	 0.9044 	 0.6899 	 0.5471 	 0.3982 	 0.2607 	 0.3835
74 	 29.5 	 27.7 	 0.1000 	 0.9534 	 0.6687 	 0.8877 	 0.6907 	 0.5473 	 0.4040 	 0.2766 	 0.3944
75 	 30.6 	 28.9 	 0.1000 	 0.9609 	 0.6666 	 0.9011 	 0.6878 	 0.5409 	 0.3911 	 0.2726 	 0.3923
76 	 29.4 	 27.6 	 0.1000 	 0.9610 	 0.6684 	 0.9260 	 0.6838 	 0.5488 	 0.4140 	 0.2972 	 0.4318
77 	 30.3 	 28.6 	 0.1000 	 0.9558 	 0.6665 	 0.8618 	 0.6998 	 0.5558 	 0.4080 	 0.2723 	 0.3956
78 	 30.1 	 28.3 	 0.1000 	 0.9617 	 0.6673 	 0.8874 	 0.6912 	 0.5411 	 0.3925 	 0.2603 	 0.3853
79 	 29.9 	 28.2 	 0.1000 	 0.9614 	 0.6659 	 0.8991 	 0.6842 	 0.5500 	 0.4151 	 0.2950 	 0.4263
80 	 30.0 	 28.3 	 0.1000 	 0.9520 	 0.6697 	 0.8750 	 0.7021 	 0.5472 	 0.3878 	 0.2575 	 0.3786
81 	 30.0 	 28.2 	 0.1000 	 0.9568 	 0.6696 	 0.9411 	 0.6687 	 0.5284 	 0.3885 	 0.2621 	 0.3907
82 	 30.1 	 28.3 	 0.1000 	 0.9600 	 0.6648 	 0.9663 	 0.6476 	 0.5070 	 0.3703 	 0.2631 	 0.4050
83 	 30.3 	 28.6 	 0.1000 	 0.9561 	 0.6670 	 0.9007 	 0.6789 	 0.5389 	 0.3980 	 0.2756 	 0.4118
84 	 29.9 	 28.1 	 0.1000 	 0.9499 	 0.6687 	 0.9892 	 0.6448 	 0.5047 	 0.3691 	 0.2536 	 0.3898
