Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 36.8 	 34.5 	 0.1000 	 1.8324 	 0.3443 	 1.4972 	 0.4655 	 0.2024 	 0.0719 	 0.0170 	 0.1525
1 	 35.5 	 33.2 	 0.1000 	 1.4982 	 0.4541 	 1.3727 	 0.5113 	 0.2711 	 0.1245 	 0.0462 	 0.1925
2 	 43.2 	 35.4 	 0.1000 	 1.3780 	 0.5031 	 1.2794 	 0.5305 	 0.3636 	 0.2065 	 0.0912 	 0.2545
3 	 34.5 	 32.3 	 0.1000 	 1.2895 	 0.5401 	 1.1618 	 0.5859 	 0.4168 	 0.2633 	 0.1336 	 0.2858
4 	 37.0 	 34.7 	 0.1000 	 1.1997 	 0.5732 	 1.1054 	 0.6094 	 0.4181 	 0.2721 	 0.1631 	 0.2994
5 	 38.4 	 36.2 	 0.1000 	 1.1484 	 0.5946 	 1.0760 	 0.6135 	 0.4565 	 0.3086 	 0.1861 	 0.3267
6 	 36.7 	 34.5 	 0.1000 	 1.1028 	 0.6103 	 1.0560 	 0.6267 	 0.4704 	 0.3210 	 0.1974 	 0.3371
7 	 36.6 	 34.3 	 0.1000 	 1.0848 	 0.6170 	 1.0382 	 0.6354 	 0.4958 	 0.3587 	 0.2343 	 0.3580
8 	 37.1 	 35.0 	 0.1000 	 1.0511 	 0.6288 	 1.0095 	 0.6442 	 0.4739 	 0.3141 	 0.1963 	 0.3270
9 	 38.4 	 36.1 	 0.1000 	 1.0313 	 0.6368 	 0.9439 	 0.6698 	 0.5233 	 0.3593 	 0.2188 	 0.3397
